Date,Open,High,Low,Close,Volume
2022-08-15,0.0003760000108741224,0.00044100001105107367,0.00019799999427050352,0.0002690000110305846,620626
2022-08-16,0.0002690000110305846,0.000291000003926456,0.00010199999815085903,0.00011999999696854502,410426
2022-08-17,0.00011999999696854502,0.00014200000441633165,6.500000017695129e-05,6.500000017695129e-05,229177
2022-08-18,6.500000017695129e-05,9.100000170292333e-05,4.999999873689376e-05,5.700000110664405e-05,176171
2022-08-19,5.700000110664405e-05,5.8000001445179805e-05,3.300000025774352e-05,3.300000025774352e-05,107870
2022-08-20,3.400000059627928e-05,3.9999998989515007e-05,1.8999999156221747e-05,1.8999999156221747e-05,38532
2022-08-21,1.8999999156221747e-05,1.9999999494757503e-05,1.5999999959603883e-05,1.5999999959603883e-05,14158
2022-08-22,1.5999999959603883e-05,2.9000000722589903e-05,1.4999999621068127e-05,2.499999936844688e-05,36358
2022-08-23,2.499999936844688e-05,7.200000254670158e-05,2.499999936844688e-05,6.70000008540228e-05,156138
2022-08-24,6.70000008540228e-05,6.70000008540228e-05,3.300000025774352e-05,4.400000034365803e-05,119778
2022-08-25,4.400000034365803e-05,4.400000034365803e-05,2.9999999242136255e-05,3.300000025774352e-05,32140
2022-08-26,3.300000025774352e-05,3.300000025774352e-05,2.300000051036477e-05,2.300000051036477e-05,35941
2022-08-27,2.300000051036477e-05,2.5999999706982635e-05,2.2000000171829015e-05,2.4000000848900527e-05,9919
2022-08-28,2.4000000848900527e-05,2.499999936844688e-05,2.4000000848900527e-05,2.4000000848900527e-05,2541
2022-08-29,2.4000000848900527e-05,2.499999936844688e-05,2.2000000171829015e-05,2.300000051036477e-05,4591
2022-08-30,2.300000051036477e-05,2.4000000848900527e-05,2.099999983329326e-05,2.300000051036477e-05,4457
2022-08-31,2.300000051036477e-05,2.499999936844688e-05,1.8999999156221747e-05,2.499999936844688e-05,23175
2022-09-01,2.499999936844688e-05,3.600000127335079e-05,2.4000000848900527e-05,3.600000127335079e-05,10211
2022-09-02,3.600000127335079e-05,3.600000127335079e-05,2.9000000722589903e-05,2.9000000722589903e-05,7887
2022-09-03,2.9000000722589903e-05,2.9000000722589903e-05,2.700000004551839e-05,2.700000004551839e-05,921
2022-09-04,2.700000004551839e-05,2.700000004551839e-05,2.5999999706982635e-05,2.700000004551839e-05,1168
2022-09-05,2.700000004551839e-05,2.700000004551839e-05,2.5999999706982635e-05,2.700000004551839e-05,1369
2022-09-06,2.700000004551839e-05,2.8000000384054147e-05,2.4000000848900527e-05,2.4000000848900527e-05,2567
2022-09-07,2.4000000848900527e-05,2.700000004551839e-05,2.300000051036477e-05,2.5999999706982635e-05,1854
2022-09-08,2.5999999706982635e-05,2.700000004551839e-05,2.499999936844688e-05,2.700000004551839e-05,3474
2022-09-09,2.700000004551839e-05,3.099999958067201e-05,2.700000004551839e-05,3.099999958067201e-05,3416
2022-09-10,3.099999958067201e-05,3.099999958067201e-05,2.300000051036477e-05,2.5999999706982635e-05,22306
2022-09-11,2.5999999706982635e-05,2.9000000722589903e-05,2.5999999706982635e-05,2.9000000722589903e-05,4144
2022-09-12,2.9000000722589903e-05,2.9000000722589903e-05,2.8000000384054147e-05,2.8000000384054147e-05,309
2022-09-13,2.8000000384054147e-05,2.8000000384054147e-05,2.300000051036477e-05,2.300000051036477e-05,2914
2022-09-14,2.4000000848900527e-05,2.4000000848900527e-05,2.300000051036477e-05,2.300000051036477e-05,2062
2022-09-15,2.300000051036477e-05,2.300000051036477e-05,2.099999983329326e-05,2.099999983329326e-05,1935
2022-09-16,2.099999983329326e-05,2.099999983329326e-05,1.8000000636675395e-05,1.8000000636675395e-05,4634
2022-09-17,1.8000000636675395e-05,1.8000000636675395e-05,1.700000029813964e-05,1.700000029813964e-05,1827
2022-09-18,1.700000029813964e-05,1.700000029813964e-05,1.2000000424450263e-05,1.2000000424450263e-05,9426
2022-09-19,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,515
2022-09-20,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,49
2022-09-21,1.2000000424450263e-05,1.2000000424450263e-05,1.1000000085914508e-05,1.1000000085914508e-05,703
2022-09-22,1.1000000085914508e-05,1.1000000085914508e-05,9.999999747378752e-06,1.1000000085914508e-05,2444
