Date,crypto_titan_ret
2014-09-17,0.0
2014-09-18,0.0
2014-09-19,0.0
2014-09-20,0.0
2014-09-21,0.0
2014-09-22,0.0
2014-09-23,0.0
2014-09-24,0.0
2014-09-25,0.0
2014-09-26,0.0
2014-09-27,0.0
2014-09-28,0.0
2014-09-29,0.0
2014-09-30,0.0
2014-10-01,0.0
2014-10-02,0.0
2014-10-03,0.0
2014-10-04,0.0
2014-10-05,0.0
2014-10-06,0.0
2014-10-07,0.0
2014-10-08,0.0
2014-10-09,0.0
2014-10-10,0.0
2014-10-11,0.0
2014-10-12,0.0
2014-10-13,0.0
2014-10-14,0.0
2014-10-15,0.0
2014-10-16,0.0
2014-10-17,0.0
2014-10-18,0.0
2014-10-19,0.0
2014-10-20,0.0
2014-10-21,0.0
2014-10-22,0.0
2014-10-23,0.0
2014-10-24,0.0
2014-10-25,0.0
2014-10-26,0.0
2014-10-27,0.0
2014-10-28,0.0
2014-10-29,0.0
2014-10-30,0.0
2014-10-31,0.0
2014-11-01,0.0
2014-11-02,0.0
2014-11-03,0.0
2014-11-04,0.0
2014-11-05,0.0
2014-11-06,0.0
2014-11-07,0.0
2014-11-08,0.0
2014-11-09,0.0
2014-11-10,0.0
2014-11-11,0.0
2014-11-12,0.0
2014-11-13,0.0
2014-11-14,0.0
2014-11-15,0.0
2014-11-16,0.0
2014-11-17,0.0
2014-11-18,0.0
2014-11-19,0.0
2014-11-20,0.0
2014-11-21,0.0
2014-11-22,0.0
2014-11-23,0.0
2014-11-24,0.0
2014-11-25,0.0
2014-11-26,-1.9411453426743609e-07
2014-11-27,3.425257923228254e-07
2014-11-28,1.6822456123966529e-06
2014-11-29,-3.6971791588254804e-07
2014-11-30,9.910158414147318e-07
2014-12-01,4.613490545975304e-07
2014-12-02,7.946416818501912e-07
2014-12-03,-3.3386097996893258e-06
2014-12-04,-8.811829415713645e-06
2014-12-05,1.199040268149441e-05
2014-12-06,-3.355983657770796e-06
2014-12-07,5.056016676219988e-07
2014-12-08,-2.1488414709489153e-05
2014-12-09,-1.636654226955379e-05
2014-12-10,-2.111800046157803e-05
2014-12-11,7.281612616167378e-05
2014-12-12,3.5377906785787487e-05
2014-12-13,-8.924755865023685e-05
2014-12-14,7.461977865526755e-05
2014-12-15,-0.00010889507945451188
2014-12-16,-0.00032243938579378764
2014-12-17,-0.00014623440910646588
2014-12-18,-2.1304988188824028e-05
2014-12-19,1.683165925976454e-05
2014-12-20,3.0982910549911006e-05
2014-12-21,-2.2453733089741747e-05
2014-12-22,2.798191194023417e-05
2014-12-23,6.579618855414829e-06
2014-12-24,-3.066038372787903e-05
2014-12-25,-1.1863659325685877e-06
2014-12-26,3.0330599150423273e-06
2014-12-27,-3.9913701370687384e-06
2014-12-28,4.7275228914203555e-07
2014-12-29,-1.562954471138918e-06
2014-12-30,-6.709041606364546e-07
2014-12-31,3.1143020997197354e-06
2015-01-01,-2.689103854856584e-07
2015-01-02,3.609437714472469e-08
2015-01-03,-1.561082399241179e-06
2015-01-04,-8.992532268747442e-07
2015-01-05,0.0
2015-01-06,0.0
2015-01-07,0.0
2015-01-08,0.0
2015-01-09,0.0
2015-01-10,0.0
2015-01-11,0.0
2015-01-12,0.0
