Date,Close,High,Low,Open,Volume
2008-11-19,35565828.0,36214980.0037123,27698985.92111369,28466415.620417636,3
2008-11-20,45517656.0,47588890.89050037,34842406.84989122,38506264.58448151,3
2008-11-21,39953104.0,55524499.64502582,39334209.10154905,39444234.86127367,2
2008-11-24,22830350.0,38162442.87951807,19892661.590361446,34735139.73493976,4
2008-11-25,19460810.0,22233459.679151945,18168007.074204948,20354769.469964664,5
2008-11-26,16886204.0,24480732.301677797,16641396.676983222,21449522.526795894,4
2008-11-28,15582399.0,17191525.81641659,15266074.924977934,17120009.0690203,2
2008-12-01,22005154.0,22552532.20575,17070498.2155,17186025.274,5
2008-12-02,17645384.0,23033896.432735775,17164021.22525331,20904897.646141853,9
2008-12-03,15128545.0,20076954.537272725,14828724.744545454,19942172.954545453,12
2008-12-04,15455868.0,16476356.882007474,13335121.563267484,15953734.54351308,11
2008-12-05,12171602.0,16641399.344632769,11965303.661016949,16578134.520677967,12
2008-12-08,10078359.0,11134606.231441047,9679515.644377729,10479952.999454148,12
2008-12-09,10947564.0,11186870.04723618,9748283.11959799,10488206.415075377,18
2008-12-10,11054838.0,12061573.682508087,10565223.378452351,10617485.61333665,12
2008-12-11,13425893.0,13821985.725261217,11511444.827904118,11648977.024175374,12
2008-12-12,12556690.0,15538388.12924425,12460417.458926616,15389853.351588171,20
2008-12-15,13918259.0,14619673.238142291,12586947.269565217,12738232.69347826,12
2008-12-16,10149879.0,13398390.408943089,9872063.883739837,13313120.422764227,15
2008-12-17,9907821.0,10562474.358689617,9236663.77512493,10411188.918656303,13
2008-12-18,10771524.0,11104351.988764046,9503476.869254341,9715276.498467823,12
2008-12-19,10556973.0,11233631.509119332,10004093.486451276,10647744.263418447,14
2008-12-22,11571961.0,12102835.36962206,10581729.01521274,10589980.9484193,13
2008-12-23,12182604.0,12289879.131180855,11261138.129600361,11349158.750056446,11
2008-12-24,11725995.0,12512679.159042928,11690236.629134413,12276123.782547502,3
2008-12-26,11643477.0,12056073.633593196,11186870.05882353,11332654.202693125,4
2008-12-29,11990057.0,12542936.434962148,11511444.951823814,11549953.967194311,6
2008-12-30,10711009.0,11965302.812018491,10589980.649717515,11910289.925526451,8
2008-12-31,9819801.0,10843040.768067226,9536484.61260504,10711009.8302521,9
2009-01-02,9434710.0,10383682.288629737,9187152.011661807,9657512.189504374,11
2009-01-05,9896820.0,10064609.332962757,9297179.433018344,9646511.322957199,17
2009-01-06,9316434.0,9682269.76085031,8958850.17360496,9519981.716563331,18
2009-01-07,10501961.0,10609236.138554217,9698772.78313253,9817050.5,15
2009-01-08,10576228.0,11013580.471261378,10287410.330299089,10768773.113133939,16
2009-01-09,11456433.0,11624222.294837935,10303913.089555822,10339671.463865547,12
2009-01-12,13258104.0,13670700.597510373,11582961.814107884,11632473.405809129,17
2009-01-13,12707977.0,14124558.8517316,12344891.942857143,13937515.034415584,28
2009-01-14,14693941.0,14924995.107824786,13610187.20853613,13926511.284724822,22
2009-01-15,16228802.0,17876437.999661017,14627926.955254238,14707695.643050848,47
2009-01-16,17221782.0,19136230.214662194,14237333.27455678,14454634.149496885,39
2009-01-20,24246932.0,24389965.518321045,19205000.479183212,19312275.617923994,52
2009-01-21,15733687.0,23614283.722902097,15557645.746853147,21179963.269230768,50
2009-01-22,18209262.0,19317771.45407855,16138027.213595167,17719647.40241692,43
2009-01-23,16605635.0,20841626.038595326,16217794.262050686,20442782.726519793,40
2009-01-26,17309802.0,18118491.303670745,14792962.840616558,15923477.479421578,30
2009-01-27,15851962.0,17329057.88651744,15598902.741974667,16385586.957140379,35
2009-01-28,10818283.0,13203091.380625477,10755018.187134502,13106818.839308415,53
2009-01-29,12908773.0,13073811.649051778,11555456.07777541,11902037.240784146,44
2009-01-30,13863246.0,14460135.758333333,12160597.33452381,12482422.688095238,55
2009-02-02,13772474.0,15307333.29538646,13546921.200319553,15112037.578589974,52
2009-02-03,14333607.0,15073530.293609671,13200341.583765112,13271858.333333332,45
2009-02-04,14930493.0,15114786.115512159,13271854.960390568,14102549.301952837,45
2009-02-05,13987027.0,16418596.688888889,13109571.422222221,15351346.644444443,76
2009-02-06,11261137.0,13252603.33805569,10947563.571079629,13007796.011968734,69
2009-02-09,10848539.0,11420672.902636917,10402934.710446248,10928307.669117646,38
2009-02-10,13665199.0,13907255.66505636,10922807.010668278,11173115.607487923,103
2009-02-11,11979054.0,13310365.627095291,11968051.42456946,13084812.83076923,69
2009-02-12,12278875.0,14149312.948028672,12168849.238351254,13016047.603046594,69
2009-02-13,13555175.0,13615689.174107144,12507179.53023539,13002295.500202922,45
2009-02-17,16883450.0,16902704.504724666,15037768.189964158,15081778.48647768,56
2009-02-18,17081500.0,18280780.837359097,15601653.46215781,15637411.835748792,72
2009-02-19,19309522.0,19606591.56923077,15860214.223931625,16292065.356980057,70
2009-02-20,19942172.0,23688549.691586208,18668623.636413794,22489268.727172412,101
2009-02-23,21870372.0,21870372.0,17807670.522953086,18181758.133568104,86
2009-02-24,15398107.0,22032661.141479097,15164302.231332619,21397262.299571276,76
2009-02-25,15400857.0,17741655.233077336,13753221.110912664,15895972.959992858,72
2009-02-26,14991009.0,15530135.195229357,12944529.973211009,14149311.980917431,68
2009-02-27,17034734.0,17741649.329888582,15620903.340222832,17598615.877926692,74
2009-03-02,20448288.0,20893892.33898305,18410060.74576271,18861166.372881357,56
2009-03-03,21521040.0,22536027.699386504,18588853.312883437,18960190.27607362,57
2009-03-04,22002404.0,23493253.227153394,19350782.86535817,19350782.86535817,72
2009-03-05,27368908.0,28653458.757386934,23152170.71718593,23314458.714371856,59
2009-03-06,28625954.0,31769940.299798213,24907083.06620544,26667495.342557896,62
2009-03-09,27278138.0,30768705.42180095,25250913.264091965,29982021.19592619,55
2009-03-10,16916460.0,23930601.95121951,16572629.512195121,23545511.80487805,64
2009-03-11,15428364.0,16586385.259404529,14124558.591549296,15183556.65537529,79
2009-03-12,11442681.0,16366334.603365384,11041086.907211538,15827208.28701923,91
2009-03-13,11057588.0,12350390.57711443,10452446.368159205,10865042.935323384,104
2009-03-16,11725995.0,11825018.18085855,9572240.81632653,10452446.868402533,132
2009-03-17,9789544.0,12383401.822983984,9718027.241359932,11855278.066872716,128
2009-03-18,7247947.0,10251650.272865275,7151674.459203036,10136123.223908918,176
2009-03-19,8361958.0,8518744.7125,6568538.060526316,6615299.009868422,190
2009-03-20,9627255.0,9756535.281428572,8466483.111428572,8526997.285714285,149
2009-03-23,5281237.0,8125403.176041667,5239977.3359375,7410235.665625,214
2009-03-24,5817613.0,5916636.2,5019926.111111111,5693834.0,231
2009-03-25,5352753.5,6491520.174717369,4970413.964285715,5479283.130524152,334
2009-03-26,5127201.0,5666327.285407725,5019925.871781115,5143704.865879828,277
2009-03-27,5487535.0,5537046.593984962,5116198.045112782,5487535.0,223
2009-03-30,6777587.5,6876610.693993507,6153191.248985389,6351237.636972402,211
2009-03-31,5691082.5,6568537.945867568,5446275.181246979,6290722.898743354,230
2009-04-01,5361004.5,6186197.5990251405,5242726.822473063,6161441.806054386,275
2009-04-02,4874142.0,5058435.179458239,4566069.819413092,4601828.197516929,342
2009-04-03,4291004.0,5047430.987179487,4274500.138461539,5028176.482051282,268
2009-04-06,4538563.5,4742111.196363636,4414784.495454545,4640337.348181818,243
2009-04-07,4964912.5,4964912.5,4643087.146814404,4876891.890581718,213
2009-04-08,4907149.5,5160208.779147983,4676095.375560538,4788871.7934417045,207
2009-04-09,2885425.75,3974680.847235462,2857919.3081506197,3941673.117016206,489
2009-04-13,2547096.5,3099975.977861771,2453574.5982721383,3039461.8061555075,552
2009-04-14,3028458.75,3061466.4747956404,2552597.3841961855,2640617.9836512264,646
2009-04-15,2618613.0,3270515.6060924367,2566350.7657563025,3196248.220588235,549
2009-04-16,2563600.5,2800155.910944206,2423317.640021459,2519590.1909871246,535
2009-04-17,2448073.75,2698382.4143258426,2338047.963483146,2602109.851123595,725
2009-04-20,3198999.5,3221004.655631986,2728639.298366294,2736891.231728289,737
2009-04-21,2516839.5,3647354.291803279,2511338.21147541,3639102.359016394,1097
2009-04-22,2725888.0,2778150.232088799,2360052.3753784057,2769898.300706357,1006
2009-04-23,2450824.5,2786403.163299663,2412315.473063973,2610361.897306397,847
2009-04-24,2277533.5,2519590.2004830916,2153754.5054347827,2420567.004830918,1081
2009-04-27,2448073.75,2503086.643258427,2285785.7148876404,2442572.4606741574,722
2009-04-28,2549847.0,2646119.5404530745,2412314.7993527506,2610361.1682847897,714
2009-04-29,2255528.25,2467327.8539634147,2197764.7216463415,2459075.9213414635,744
2009-04-30,2285785.0,2294036.9314079424,2084988.002406739,2148252.8098676293,833
2009-05-01,2368304.5,2417816.092334495,2233522.943089431,2313291.619628339,635
