Date,Close,High,Low,Open,Volume,Adj Close
2008-11-25,5432.5,5562.5,5410.0,5562.5,33,
2008-11-26,6225.0,6760.0,5420.0,5655.0,313,
2008-11-28,5600.0,5900.0,5462.5,5845.0,182,
2008-12-01,5005.0,5472.5,4970.0,5405.0,536,
2008-12-02,4625.0,5170.0,4525.0,5165.0,627,
2008-12-03,4530.0,4697.5,4437.5,4537.5,578,
2008-12-04,3925.0,4550.0,3845.0,4360.0,986,
2008-12-05,3622.5,3850.0,3370.0,3707.5,1324,
2008-12-08,3980.0,4010.0,3722.5,3882.5,1247,
2008-12-09,3640.0,3975.0,3565.0,3870.0,958,
2008-12-10,3910.0,4210.0,3560.0,3880.0,2698,
2008-12-11,4462.5,4750.0,4127.5,4245.0,2430,
2008-12-12,4435.0,4515.0,3882.5,4045.0,2199,
2008-12-15,4145.0,4947.5,4017.5,4947.5,2554,
2008-12-16,4032.5,4400.0,3827.5,4337.5,3667,
2008-12-17,3787.5,4170.0,3637.5,3967.5,5435,
2008-12-18,3337.5,3647.5,3200.0,3647.5,8939,
2008-12-19,3400.0,3452.5,3202.5,3295.0,7665,
2008-12-22,2972.5,3430.0,2962.5,3410.0,7658,
2008-12-23,2852.5,3087.5,2695.0,3087.5,8426,
2008-12-24,2672.5,2715.0,2585.0,2665.0,4585,
2008-12-26,2612.5,2650.0,2437.5,2522.5,6772,
2008-12-29,2952.5,2965.0,2630.0,2847.5,7675,
2008-12-30,2932.5,2950.0,2702.5,2830.0,3114,
2008-12-31,3422.5,3722.5,2797.5,2812.5,12225,
2009-01-02,3915.0,3962.5,3480.0,3542.5,8402,
2009-01-05,4290.0,4385.0,3882.5,3942.5,8642,
2009-01-06,4375.0,4662.5,4257.5,4587.5,8910,
2009-01-07,3437.5,4262.5,3425.0,4250.0,12877,
2009-01-08,3427.5,3452.5,3152.5,3375.0,13636,
2009-01-09,3237.5,3310.0,3035.0,3205.0,17091,
2009-01-12,2925.0,3042.5,2877.5,3000.0,20676,
2009-01-13,3107.5,3205.0,2895.0,2965.0,27898,
2009-01-14,3002.5,3077.5,2775.0,3062.5,24726,
2009-01-15,2817.5,2965.0,2565.0,2965.0,48091,
2009-01-16,2765.0,3007.5,2702.5,2997.5,24594,
2009-01-20,2542.5,2925.0,2500.0,2600.0,36842,
2009-01-21,2927.5,2955.0,2532.5,2622.5,24239,
2009-01-22,2770.0,2915.0,2475.0,2695.0,37683,
2009-01-23,3182.5,3327.5,2595.0,2662.5,36064,
2009-01-26,3150.0,3547.5,3132.5,3197.5,32271,
2009-01-27,2650.0,2990.0,2600.0,2950.0,48444,
2009-01-28,2675.0,2842.5,2502.5,2625.0,87766,
2009-01-29,2580.0,2680.0,2477.5,2510.0,55567,
2009-01-30,2590.0,2755.0,2530.0,2720.0,36458,
2009-02-02,2447.5,2637.5,2402.5,2450.0,83864,
2009-02-03,2510.0,2530.0,2387.5,2397.5,49766,
2009-02-04,2422.5,2617.5,2367.5,2605.0,57608,
2009-02-05,2490.0,2535.0,2332.5,2422.5,43313,
2009-02-06,2412.5,2710.0,2255.0,2257.5,101688,
2009-02-09,2390.0,2647.5,2352.5,2582.5,64832,
2009-02-10,2177.5,2545.0,2132.5,2532.5,119492,
2009-02-11,2050.0,2210.0,1995.0,2157.5,67820,
2009-02-12,2025.0,2070.0,1927.5,1997.5,67554,
2009-02-13,1882.5,2012.5,1852.5,2000.0,74230,
2009-02-17,1562.5,1697.5,1547.5,1677.5,57884,
2009-02-18,1462.5,1575.0,1447.5,1560.0,63649,
2009-02-19,1637.5,1672.5,1442.5,1560.0,71176,
2009-02-20,1617.5,1645.0,1480.0,1505.0,61800,
2009-02-23,1555.0,1730.0,1520.0,1730.0,48766,
2009-02-24,1670.0,1692.5,1557.5,1632.5,42103,
2009-02-25,1820.0,1857.5,1647.5,1725.0,74708,
2009-02-26,2002.5,2062.5,1920.0,1937.5,92058,
2009-02-27,1962.5,2027.5,1845.0,1902.5,50840,
2009-03-02,1622.5,1802.5,1607.5,1775.0,45844,
2009-03-03,1735.0,1755.0,1590.0,1740.0,32776,
2009-03-04,1975.0,2025.0,1877.5,1907.5,59255,
2009-03-05,1865.0,1980.0,1810.0,1957.5,34512,
2009-03-06,2045.0,2057.5,1892.5,2000.0,38272,
