ts,open,high,low,close,volume,vwap
2016-01-04 05:00:00+00:00,35.99,36.08,34.81,35.16,13106072,35.13
2016-01-05 05:00:00+00:00,35.18,35.38,34.9,35.15,8575631,35.14
2016-01-06 05:00:00+00:00,34.65,35.2,34.57,34.86,6601255,34.86
2016-01-07 05:00:00+00:00,34.14,34.55,33.91,34.02,7710186,34.19
2016-01-08 05:00:00+00:00,34.29,34.32,33.2,33.31,8308931,33.59
2016-01-11 05:00:00+00:00,33.39,33.5,32.84,33.36,8254467,33.17
2016-01-12 05:00:00+00:00,33.57,34.08,33.47,33.96,7767105,33.83
2016-01-13 05:00:00+00:00,34.19,34.37,33.11,33.2,6057489,33.63
2016-01-14 05:00:00+00:00,33.42,34.06,33.09,33.88,7905362,33.74
2016-01-15 05:00:00+00:00,32.85,33.73,32.77,33.42,12097916,33.33
2016-01-19 05:00:00+00:00,33.88,34.06,33.08,33.33,8570760,33.5
2016-01-20 05:00:00+00:00,32.75,33.2,32.22,32.94,11738475,32.71
2016-01-21 05:00:00+00:00,33.11,33.12,32.35,32.55,10513482,32.71
2016-01-22 05:00:00+00:00,33.14,33.14,32.76,33.0,9338341,32.92
2016-01-25 05:00:00+00:00,33.0,33.11,32.63,32.69,5585017,32.88
2016-01-26 05:00:00+00:00,32.93,33.34,32.68,33.11,5720465,33.07
2016-01-27 05:00:00+00:00,32.93,34.2,32.89,33.36,10880146,33.54
2016-01-28 05:00:00+00:00,31.65,31.74,29.68,30.26,24273181,30.49
2016-01-29 05:00:00+00:00,30.25,31.22,30.24,31.2,18225708,30.99
2016-02-01 05:00:00+00:00,29.82,31.91,29.82,31.7,14869984,31.09
2016-02-02 05:00:00+00:00,31.33,31.93,31.18,31.23,9854127,31.45
2016-02-03 05:00:00+00:00,31.51,31.66,30.58,31.34,7384055,31.07
2016-02-04 05:00:00+00:00,31.14,31.51,30.94,31.33,5389983,31.27
2016-02-05 05:00:00+00:00,31.51,31.61,30.6,30.84,6208481,30.92
2016-02-08 05:00:00+00:00,30.62,31.03,30.25,30.88,8148380,30.58
2016-02-09 05:00:00+00:00,30.48,31.15,30.39,30.5,8963820,30.63
2016-02-10 05:00:00+00:00,30.98,31.47,30.6,30.67,8487452,30.98
2016-02-11 05:00:00+00:00,30.04,30.38,29.69,29.96,8178047,30.04
2016-02-12 05:00:00+00:00,30.22,30.62,30.01,30.61,6924259,30.37
2016-02-16 05:00:00+00:00,30.61,31.33,30.6,31.32,8336776,31.18
2016-02-17 05:00:00+00:00,31.63,31.79,31.52,31.7,6752952,31.67
2016-02-18 05:00:00+00:00,31.61,32.06,31.5,31.58,5918189,31.74
2016-02-19 05:00:00+00:00,31.61,31.86,31.44,31.76,6318208,31.68
2016-02-22 05:00:00+00:00,32.15,32.35,31.94,32.28,5183357,32.24
2016-02-23 05:00:00+00:00,32.08,32.19,31.57,31.65,6475676,31.79
2016-02-24 05:00:00+00:00,31.47,32.41,31.3,32.31,7384468,31.92
2016-02-25 05:00:00+00:00,32.33,32.68,32.12,32.67,7893713,32.42
2016-02-26 05:00:00+00:00,32.55,32.87,32.33,32.58,9262701,32.62
2016-02-29 05:00:00+00:00,32.43,32.84,31.94,31.94,9506375,32.23
2016-03-01 05:00:00+00:00,32.08,32.53,31.98,32.42,10036453,32.31
2016-03-02 05:00:00+00:00,32.43,32.62,32.23,32.43,7767627,32.38
2016-03-03 05:00:00+00:00,31.79,32.06,31.4,32.0,14219687,31.77
2016-03-04 05:00:00+00:00,32.03,32.45,31.98,32.3,7791058,32.26
2016-03-07 05:00:00+00:00,32.15,32.47,32.08,32.3,6238802,32.28
2016-03-08 05:00:00+00:00,32.11,32.55,32.05,32.29,8166772,32.35
2016-03-09 05:00:00+00:00,32.36,32.47,32.15,32.38,6613102,32.35
2016-03-10 05:00:00+00:00,32.49,32.87,32.0,32.17,8988614,32.29
2016-03-11 05:00:00+00:00,32.36,33.34,32.22,33.28,12258891,32.8
2016-03-14 04:00:00+00:00,33.23,33.53,32.96,33.39,6044735,33.31
2016-03-15 04:00:00+00:00,33.11,33.25,32.6,32.89,5654638,32.83
2016-03-16 04:00:00+00:00,33.09,33.23,32.79,33.12,5878841,33.08
2016-03-17 04:00:00+00:00,33.13,33.31,32.59,33.21,6531438,33.08
2016-03-18 04:00:00+00:00,33.26,33.75,33.09,33.63,12971490,33.53
