ts,open,high,low,close,volume,vwap
2016-01-04 05:00:00+00:00,47.37,47.69,46.62,47.08,7938461,47.05
2016-01-05 05:00:00+00:00,47.41,48.39,47.35,48.0,8416801,47.89
2016-01-06 05:00:00+00:00,47.39,47.95,46.95,47.16,7233048,47.29
2016-01-07 05:00:00+00:00,46.25,46.84,45.62,45.85,9045823,46.11
2016-01-08 05:00:00+00:00,46.07,46.21,44.6,44.69,9700040,45.12
2016-01-11 05:00:00+00:00,44.94,44.94,43.53,44.23,11343410,44.18
2016-01-12 05:00:00+00:00,44.37,44.8,43.63,44.56,8475158,44.31
2016-01-13 05:00:00+00:00,44.67,45.29,42.98,43.04,10163450,43.93
2016-01-14 05:00:00+00:00,43.07,44.88,42.76,44.6,11191367,44.33
2016-01-15 05:00:00+00:00,43.29,44.19,42.89,44.09,13397787,43.75
2016-01-19 05:00:00+00:00,44.67,45.25,43.94,44.39,10054187,44.56
2016-01-20 05:00:00+00:00,43.71,45.36,43.4,44.63,9269793,44.32
2016-01-21 05:00:00+00:00,44.91,44.93,43.9,44.34,6014088,44.47
2016-01-22 05:00:00+00:00,45.27,45.51,44.7,45.23,7194735,45.15
2016-01-25 05:00:00+00:00,45.11,45.24,43.99,44.19,9500660,44.42
2016-01-26 05:00:00+00:00,44.27,44.28,43.49,44.03,6044025,44.03
2016-01-27 05:00:00+00:00,44.2,44.21,42.95,43.34,7800822,43.56
2016-01-28 05:00:00+00:00,45.09,45.12,42.14,42.95,17880580,43.32
2016-01-29 05:00:00+00:00,43.3,43.99,42.95,43.66,11963775,43.57
2016-02-01 05:00:00+00:00,43.49,43.8,42.17,42.72,10737459,42.67
2016-02-02 05:00:00+00:00,42.16,42.35,41.06,41.35,10372206,41.56
2016-02-03 05:00:00+00:00,41.58,42.27,40.69,42.22,13141168,41.74
2016-02-04 05:00:00+00:00,41.75,42.67,41.57,41.93,8450972,42.02
2016-02-05 05:00:00+00:00,41.98,42.18,41.43,41.88,7652161,41.82
2016-02-08 05:00:00+00:00,41.49,42.96,41.28,42.65,11355252,42.18
2016-02-09 05:00:00+00:00,42.33,43.53,42.16,42.86,6693084,42.75
2016-02-10 05:00:00+00:00,43.02,43.84,42.79,42.9,6830478,43.21
2016-02-11 05:00:00+00:00,42.06,42.31,41.39,41.8,7282795,41.83
2016-02-12 05:00:00+00:00,42.28,42.43,41.55,42.28,6700449,42.06
2016-02-16 05:00:00+00:00,44.05,44.05,43.09,43.67,8781495,43.6
2016-02-17 05:00:00+00:00,44.17,44.96,43.52,44.89,7458273,44.52
2016-02-18 05:00:00+00:00,44.91,44.96,44.18,44.47,6720814,44.55
2016-02-19 05:00:00+00:00,44.3,45.33,44.18,44.81,6692195,44.76
2016-02-22 05:00:00+00:00,44.95,45.24,44.48,44.74,6343577,44.74
2016-02-23 05:00:00+00:00,44.44,44.49,43.56,43.59,6853954,43.99
2016-02-24 05:00:00+00:00,43.43,43.8,42.72,43.71,5107652,43.35
2016-02-25 05:00:00+00:00,43.99,44.29,43.75,44.27,4802682,44.04
2016-02-26 05:00:00+00:00,44.49,44.65,43.71,43.72,5834235,44.03
2016-02-29 05:00:00+00:00,43.72,44.06,43.49,43.49,8545194,43.63
2016-03-01 05:00:00+00:00,43.76,45.12,43.49,45.1,5681876,44.61
2016-03-02 05:00:00+00:00,45.08,45.71,44.74,45.58,6544401,45.31
2016-03-03 05:00:00+00:00,45.33,45.82,44.7,45.65,8513633,45.21
2016-03-04 05:00:00+00:00,45.65,45.85,45.07,45.45,7497510,45.44
2016-03-07 05:00:00+00:00,45.26,46.8,45.26,46.7,7444524,46.4
2016-03-08 05:00:00+00:00,46.43,46.61,46.16,46.54,7143727,46.44
2016-03-09 05:00:00+00:00,46.82,46.83,45.62,46.03,5859809,45.97
2016-03-10 05:00:00+00:00,46.47,46.54,45.29,45.61,6436186,45.75
2016-03-11 05:00:00+00:00,45.78,46.07,45.33,45.62,7673635,45.57
2016-03-14 04:00:00+00:00,45.44,45.44,44.96,45.03,6440610,45.12
2016-03-15 04:00:00+00:00,44.91,45.15,44.47,44.72,5839732,44.77
2016-03-16 04:00:00+00:00,44.51,45.17,43.69,43.99,9028764,44.2
2016-03-17 04:00:00+00:00,43.9,43.97,42.83,43.17,10252360,43.24
2016-03-18 04:00:00+00:00,43.22,44.13,42.84,44.13,26176478,43.87
2016-03-21 04:00:00+00:00,43.99,44.16,43.64,44.04,4304844,43.98
2016-03-22 04:00:00+00:00,43.95,44.42,43.81,44.11,6468684,44.1
2016-03-23 04:00:00+00:00,44.27,44.3,43.72,43.78,3971960,43.88
2016-03-24 04:00:00+00:00,43.67,43.94,43.35,43.91,6491620,43.75
2016-03-28 04:00:00+00:00,43.95,44.35,43.7,44.08,5100673,44.07
2016-03-29 04:00:00+00:00,43.86,45.26,43.78,45.08,6739544,44.83
2016-03-30 04:00:00+00:00,45.19,45.33,44.65,44.82,4836689,44.86
2016-03-31 04:00:00+00:00,44.94,45.25,44.72,45.13,6641923,45.09
2016-04-01 04:00:00+00:00,44.98,46.06,44.86,45.86,6523778,45.72
2016-04-04 04:00:00+00:00,45.89,46.86,45.76,46.61,6137092,46.51
2016-04-05 04:00:00+00:00,46.51,47.2,46.35,46.46,4643629,46.65
2016-04-06 04:00:00+00:00,46.46,47.44,46.46,47.01,6150656,47.04
2016-04-07 04:00:00+00:00,46.67,47.08,46.35,46.83,6753157,46.72
2016-04-08 04:00:00+00:00,47.22,47.29,46.38,46.68,4874318,46.68
2016-04-11 04:00:00+00:00,46.77,46.98,46.47,46.62,3889574,46.71
2016-04-12 04:00:00+00:00,46.62,47.54,46.53,47.22,4753730,47.2
2016-04-13 04:00:00+00:00,47.34,47.8,46.93,47.74,5955116,47.42
2016-04-14 04:00:00+00:00,47.8,48.26,47.7,47.95,3813508,47.99
2016-04-15 04:00:00+00:00,48.0,48.26,47.74,48.08,3776940,48.01
2016-04-18 04:00:00+00:00,48.1,48.72,47.75,48.65,3691295,48.51
2016-04-19 04:00:00+00:00,48.64,49.27,48.18,48.69,4304841,48.65
2016-04-20 04:00:00+00:00,48.88,49.14,48.33,48.91,7483409,48.81
2016-04-21 04:00:00+00:00,48.76,49.63,48.67,49.57,5975104,49.38
2016-04-22 04:00:00+00:00,49.63,50.21,49.63,49.94,6558229,49.95
2016-04-25 04:00:00+00:00,49.89,50.04,49.49,49.9,4596638,49.85
