ts,open,high,low,close,volume,vwap
2016-01-04 05:00:00+00:00,131.57,133.46,130.93,133.17,1574065,132.45
2016-01-05 05:00:00+00:00,133.11,134.61,130.6,130.98,1593764,132.19
2016-01-06 05:00:00+00:00,130.2,131.64,129.71,129.97,1277433,130.5
2016-01-07 05:00:00+00:00,128.12,129.9,127.42,128.46,1970617,128.5
2016-01-08 05:00:00+00:00,129.03,129.15,125.92,126.07,1709712,127.12
2016-01-11 05:00:00+00:00,126.23,126.63,122.43,122.43,2424163,123.32
2016-01-12 05:00:00+00:00,122.69,126.73,122.69,126.38,1890433,125.79
2016-01-13 05:00:00+00:00,126.52,127.33,122.59,122.91,1777479,124.47
2016-01-14 05:00:00+00:00,122.64,126.46,122.64,126.05,2323194,125.5
2016-01-15 05:00:00+00:00,124.26,124.69,122.32,123.79,1952158,123.4
2016-01-19 05:00:00+00:00,123.83,128.51,123.82,127.14,2099327,126.97
2016-01-20 05:00:00+00:00,126.0,127.41,122.79,126.52,2013327,125.26
2016-01-21 05:00:00+00:00,126.65,129.6,126.42,127.33,2008588,127.7
2016-01-22 05:00:00+00:00,125.31,128.3,123.98,125.31,2435297,125.98
2016-01-25 05:00:00+00:00,125.63,126.18,123.28,123.44,2026163,124.0
2016-01-26 05:00:00+00:00,124.33,124.89,122.06,123.05,1234863,123.14
2016-01-27 05:00:00+00:00,122.4,123.04,118.02,119.44,2874967,119.86
2016-01-28 05:00:00+00:00,120.5,121.04,117.32,117.97,1205632,118.32
2016-01-29 05:00:00+00:00,118.33,121.4,118.2,121.4,2075264,120.9
2016-02-01 05:00:00+00:00,121.16,122.86,120.45,121.06,1917565,121.36
2016-02-02 05:00:00+00:00,120.95,121.04,119.03,119.85,1266017,120.08
2016-02-03 05:00:00+00:00,120.88,120.9,118.76,120.4,2195963,120.09
2016-02-04 05:00:00+00:00,118.67,122.64,118.67,122.46,2323432,121.58
2016-02-05 05:00:00+00:00,122.2,122.77,119.67,120.9,1625332,121.26
2016-02-08 05:00:00+00:00,120.05,120.23,112.79,113.55,2990134,114.81
2016-02-09 05:00:00+00:00,113.12,117.32,112.26,116.47,1198007,115.63
2016-02-10 05:00:00+00:00,116.88,119.1,116.31,117.67,865076,118.0
2016-02-11 05:00:00+00:00,116.27,118.38,116.2,116.31,1347713,116.76
2016-02-12 05:00:00+00:00,116.97,118.58,115.8,118.4,797416,117.76
2016-02-16 05:00:00+00:00,118.73,122.09,118.72,121.93,911604,120.98
2016-02-17 05:00:00+00:00,122.36,123.83,120.86,123.44,1109950,123.12
2016-02-18 05:00:00+00:00,123.76,124.65,122.67,123.26,1171691,123.6
2016-02-19 05:00:00+00:00,124.42,124.49,121.41,121.71,1298445,122.05
2016-02-22 05:00:00+00:00,123.58,125.5,122.94,123.91,1454467,124.01
2016-02-23 05:00:00+00:00,123.3,125.41,123.3,125.25,1022630,124.94
2016-02-24 05:00:00+00:00,124.93,125.2,123.09,124.71,685139,124.37
2016-02-25 05:00:00+00:00,125.11,127.65,124.58,127.51,966938,126.36
2016-02-26 05:00:00+00:00,127.38,130.15,127.22,128.35,1206326,128.81
2016-02-29 05:00:00+00:00,127.62,129.64,126.83,126.86,1417942,127.83
2016-03-01 05:00:00+00:00,127.76,128.1,124.92,125.88,1743482,126.17
2016-03-02 05:00:00+00:00,125.82,127.99,125.01,127.67,1001065,126.85
2016-03-03 05:00:00+00:00,127.75,128.36,126.03,127.61,911276,127.51
2016-03-04 05:00:00+00:00,126.85,127.67,125.17,126.25,1322957,126.15
2016-03-07 05:00:00+00:00,125.4,128.15,125.38,127.64,1049391,127.1
2016-03-08 05:00:00+00:00,126.82,128.13,126.35,127.14,1016831,127.26
2016-03-09 05:00:00+00:00,128.05,129.07,126.26,127.33,1385161,127.13
2016-03-10 05:00:00+00:00,127.25,129.84,126.83,129.19,1274337,128.65
2016-03-11 05:00:00+00:00,129.48,131.61,129.22,131.45,1100925,130.68
2016-03-14 04:00:00+00:00,130.55,132.48,130.55,132.04,1145022,131.8
2016-03-15 04:00:00+00:00,131.05,131.91,130.3,130.33,1838978,130.57
2016-03-16 04:00:00+00:00,129.99,131.08,127.19,129.02,751782,128.71
2016-03-17 04:00:00+00:00,128.98,129.01,124.22,125.25,1388896,125.19
2016-03-18 04:00:00+00:00,125.45,128.36,125.03,126.82,1351119,126.68
2016-03-21 04:00:00+00:00,126.38,127.21,125.02,125.57,611309,125.75
2016-03-22 04:00:00+00:00,125.23,127.05,124.44,126.3,699536,126.06
2016-03-23 04:00:00+00:00,126.19,127.19,124.96,125.32,666945,125.75
2016-03-24 04:00:00+00:00,124.53,125.7,124.5,125.39,531538,125.29
2016-03-28 04:00:00+00:00,125.67,126.05,124.69,125.08,593600,125.19
2016-03-29 04:00:00+00:00,124.83,126.09,124.59,125.5,1276706,125.34
2016-03-30 04:00:00+00:00,125.92,127.45,124.84,124.94,1264961,125.73
2016-03-31 04:00:00+00:00,125.07,125.82,123.78,124.74,1407310,124.89
2016-04-01 04:00:00+00:00,124.14,125.1,122.83,124.67,1941994,123.97
2016-04-04 04:00:00+00:00,124.52,128.76,123.95,128.37,2934660,126.93
2016-04-05 04:00:00+00:00,127.23,128.35,123.13,123.15,2954382,124.25
2016-04-06 04:00:00+00:00,122.86,123.77,120.4,122.89,2596606,122.01
2016-04-07 04:00:00+00:00,121.02,123.12,119.08,119.85,2091973,120.38
2016-04-08 04:00:00+00:00,120.01,121.12,117.66,118.53,2603545,118.66
2016-04-11 04:00:00+00:00,118.51,120.62,118.45,120.03,1943278,119.73
2016-04-12 04:00:00+00:00,119.95,123.9,119.94,123.42,1570237,122.89
2016-04-13 04:00:00+00:00,123.83,127.14,123.22,124.52,1616023,125.27
