ts,open,high,low,close,volume,vwap
2016-01-04 05:00:00+00:00,59.92,60.15,59.19,59.83,2755253,59.65
2016-01-05 05:00:00+00:00,60.33,60.54,59.72,60.3,1675897,60.16
2016-01-06 05:00:00+00:00,59.63,60.62,59.44,60.0,1655623,60.15
2016-01-07 05:00:00+00:00,58.94,60.56,58.84,59.06,2139522,59.41
2016-01-08 05:00:00+00:00,59.62,59.62,58.11,58.18,1699847,58.62
2016-01-11 05:00:00+00:00,58.33,58.98,57.64,58.67,2072823,58.34
2016-01-12 05:00:00+00:00,59.17,59.21,58.32,58.87,1910752,58.82
2016-01-13 05:00:00+00:00,59.96,59.96,56.51,56.79,2748402,57.54
2016-01-14 05:00:00+00:00,57.1,57.58,56.61,57.15,2332743,57.21
2016-01-15 05:00:00+00:00,55.55,57.56,55.55,57.16,2892193,56.75
2016-01-19 05:00:00+00:00,58.0,58.55,57.46,58.1,2749997,58.11
2016-01-20 05:00:00+00:00,57.55,57.86,56.08,56.81,3069898,56.95
2016-01-21 05:00:00+00:00,57.01,57.51,55.24,55.32,4124388,56.21
2016-01-22 05:00:00+00:00,56.39,57.28,56.0,57.2,2241460,56.79
2016-01-25 05:00:00+00:00,57.08,57.95,57.01,57.11,1910987,57.45
2016-01-26 05:00:00+00:00,57.52,58.51,56.98,58.28,1505697,58.14
2016-01-27 05:00:00+00:00,58.11,59.41,57.99,58.51,2022738,58.62
2016-01-28 05:00:00+00:00,58.82,59.31,58.07,58.76,2209056,58.7
2016-01-29 05:00:00+00:00,59.11,60.69,58.72,60.62,2844912,60.2
2016-02-01 05:00:00+00:00,60.58,60.86,60.0,60.35,1489222,60.44
2016-02-02 05:00:00+00:00,59.65,60.58,59.43,60.13,1694064,60.16
2016-02-03 05:00:00+00:00,60.34,60.73,58.79,60.32,2175292,59.86
2016-02-04 05:00:00+00:00,60.24,60.47,57.67,58.25,3925738,58.44
2016-02-05 05:00:00+00:00,59.21,59.98,58.67,59.75,3145983,59.52
2016-02-08 05:00:00+00:00,59.65,61.18,58.7,60.85,2910240,60.38
2016-02-09 05:00:00+00:00,60.08,63.3,60.08,62.96,3343650,62.43
2016-02-10 05:00:00+00:00,62.77,63.08,61.02,61.08,2239470,61.96
2016-02-11 05:00:00+00:00,59.62,61.1,59.59,60.27,2119242,60.22
2016-02-12 05:00:00+00:00,61.35,61.6,60.39,61.5,1847644,61.14
2016-02-16 05:00:00+00:00,62.24,62.32,60.79,61.2,2560970,61.25
2016-02-17 05:00:00+00:00,61.86,62.2,60.87,62.18,2517768,61.7
2016-02-18 05:00:00+00:00,62.05,62.16,61.21,61.6,1477458,61.7
2016-02-19 05:00:00+00:00,61.69,63.33,61.27,62.97,1832050,62.78
2016-02-22 05:00:00+00:00,63.42,63.73,61.77,62.05,1490800,62.23
2016-02-23 05:00:00+00:00,62.1,63.01,61.54,62.01,1547483,62.03
2016-02-24 05:00:00+00:00,61.72,62.47,60.98,62.28,1006730,61.97
2016-02-25 05:00:00+00:00,62.73,63.15,62.22,62.88,1095451,62.65
2016-02-26 05:00:00+00:00,63.18,63.42,62.69,62.86,1334974,62.97
2016-02-29 05:00:00+00:00,62.38,63.08,61.62,61.7,1684075,61.89
2016-03-01 05:00:00+00:00,61.93,62.46,60.64,62.45,3584631,61.67
2016-03-02 05:00:00+00:00,62.74,63.34,62.45,62.95,2025945,62.85
2016-03-03 05:00:00+00:00,63.14,63.72,62.7,63.65,1411089,63.34
2016-03-04 05:00:00+00:00,63.94,64.11,62.7,63.96,1626031,63.57
2016-03-07 05:00:00+00:00,63.39,63.63,62.46,63.14,1369386,63.08
2016-03-08 05:00:00+00:00,62.56,63.99,62.52,63.35,1583098,63.41
2016-03-09 05:00:00+00:00,63.46,64.17,63.17,63.76,1425482,63.65
2016-03-10 05:00:00+00:00,64.13,64.13,62.83,63.65,1306965,63.51
2016-03-11 05:00:00+00:00,63.78,64.57,63.51,64.23,1579489,64.15
2016-03-14 04:00:00+00:00,64.29,65.74,63.98,65.46,2357121,65.36
2016-03-15 04:00:00+00:00,64.78,66.37,64.78,65.67,1930216,65.73
2016-03-16 04:00:00+00:00,65.25,65.83,65.04,65.45,1849828,65.51
2016-03-17 04:00:00+00:00,65.32,65.77,65.1,65.48,1941563,65.49
2016-03-18 04:00:00+00:00,65.64,65.68,64.59,65.16,5893893,65.19
2016-03-21 04:00:00+00:00,65.16,65.45,64.51,65.05,1449807,65.0
2016-03-22 04:00:00+00:00,65.04,65.24,64.55,64.91,1711311,64.93
2016-03-23 04:00:00+00:00,65.03,65.75,64.44,65.43,1556487,65.42
2016-03-24 04:00:00+00:00,65.32,65.32,64.12,64.63,1602649,64.58
2016-03-28 04:00:00+00:00,64.63,64.95,64.45,64.65,923695,64.61
2016-03-29 04:00:00+00:00,64.51,64.62,63.53,64.51,1441301,64.13
2016-03-30 04:00:00+00:00,64.93,65.16,64.61,64.9,1056628,64.89
2016-03-31 04:00:00+00:00,64.98,65.44,64.87,65.22,1399742,65.21
2016-04-01 04:00:00+00:00,65.07,65.93,64.88,65.84,1224753,65.7
2016-04-04 04:00:00+00:00,65.78,65.78,64.96,65.69,878126,65.53
2016-04-05 04:00:00+00:00,66.19,66.22,64.07,64.19,1666713,64.56
2016-04-06 04:00:00+00:00,63.98,64.31,63.67,64.09,1158100,63.99
2016-04-07 04:00:00+00:00,63.66,63.85,62.21,62.62,1584625,62.76
2016-04-08 04:00:00+00:00,61.12,61.15,60.44,60.5,6665952,60.74
2016-04-11 04:00:00+00:00,60.89,61.37,60.82,60.91,4576265,61.09
2016-04-12 04:00:00+00:00,61.11,61.37,60.75,61.15,3288452,61.11
2016-04-13 04:00:00+00:00,61.67,61.71,60.83,61.3,4974018,61.31
2016-04-14 04:00:00+00:00,61.51,61.99,61.12,61.77,2818327,61.72
2016-04-15 04:00:00+00:00,61.9,62.21,61.52,62.09,2762837,61.99
2016-04-18 04:00:00+00:00,62.06,62.32,61.8,62.12,1680898,62.12
2016-04-19 04:00:00+00:00,62.04,62.9,61.8,62.9,2104007,62.61
2016-04-20 04:00:00+00:00,62.93,63.49,62.72,63.22,2116856,63.2
2016-04-21 04:00:00+00:00,63.2,63.38,62.87,63.19,2096793,63.19
2016-04-22 04:00:00+00:00,63.19,64.26,62.96,63.97,2202241,63.94
2016-04-25 04:00:00+00:00,63.77,64.15,63.42,63.63,1402308,63.62
2016-04-26 04:00:00+00:00,63.92,64.05,63.43,63.91,1725094,63.86
2016-04-27 04:00:00+00:00,63.74,64.4,63.45,64.14,1730944,64.05
2016-04-28 04:00:00+00:00,62.94,63.7,62.3,62.7,2224821,62.76
2016-04-29 04:00:00+00:00,62.3,62.6,61.58,62.41,2081941,62.3
2016-05-02 04:00:00+00:00,62.88,63.63,62.6,63.57,1895571,63.36
2016-05-03 04:00:00+00:00,63.3,63.6,62.47,63.04,1212182,62.94
2016-05-04 04:00:00+00:00,62.72,63.11,62.56,62.69,2188669,62.79
2016-05-05 04:00:00+00:00,62.98,63.37,62.63,63.11,1717900,62.94
2016-05-06 04:00:00+00:00,62.71,63.15,62.57,63.07,1494457,62.92
2016-05-09 04:00:00+00:00,63.1,63.97,62.94,63.83,1577864,63.68
2016-05-10 04:00:00+00:00,63.78,64.38,63.74,64.33,1464639,64.2
2016-05-11 04:00:00+00:00,64.09,64.3,63.32,63.62,1428970,63.82
2016-05-12 04:00:00+00:00,63.82,64.75,63.72,64.58,1125149,64.41
2016-05-13 04:00:00+00:00,64.51,64.89,64.03,64.06,1079745,64.33
