ts,open,high,low,close,volume,vwap
2016-01-04 05:00:00+00:00,6.108,6.198,5.965,6.046,18954090,6.023
2016-01-05 05:00:00+00:00,6.042,6.062,5.942,5.968,10669150,5.991
2016-01-06 05:00:00+00:00,5.876,5.916,5.766,5.9,19504550,5.852
2016-01-07 05:00:00+00:00,5.78,5.928,5.674,5.834,13012915,5.859
2016-01-08 05:00:00+00:00,5.838,5.894,5.695,5.722,16354070,5.756
2016-01-11 05:00:00+00:00,5.762,5.786,5.576,5.67,17348885,5.661
2016-01-12 05:00:00+00:00,5.708,5.828,5.622,5.746,13788320,5.715
2016-01-13 05:00:00+00:00,5.9,5.989,5.584,5.678,17126410,5.757
2016-01-14 05:00:00+00:00,5.75,5.932,5.586,5.858,18275095,5.846
2016-01-15 05:00:00+00:00,5.668,5.702,5.438,5.656,19397770,5.597
2016-01-19 05:00:00+00:00,5.696,5.74,5.288,5.292,25938730,5.438
2016-01-20 05:00:00+00:00,4.814,5.264,4.728,5.198,30219320,5.114
2016-01-21 05:00:00+00:00,5.256,5.436,5.206,5.345,13314530,5.353
2016-01-22 05:00:00+00:00,5.422,5.574,5.262,5.55,13584905,5.502
2016-01-25 05:00:00+00:00,5.518,5.612,5.421,5.442,13984860,5.493
2016-01-26 05:00:00+00:00,5.304,5.43,5.132,5.374,22635115,5.333
2016-01-27 05:00:00+00:00,5.321,5.394,5.138,5.166,21540435,5.237
2016-01-28 05:00:00+00:00,5.264,5.294,5.106,5.272,19826420,5.235
2016-01-29 05:00:00+00:00,6.0,6.006,5.502,5.628,31945585,5.636
2016-02-01 05:00:00+00:00,5.596,5.724,5.48,5.678,16120005,5.627
2016-02-02 05:00:00+00:00,5.638,5.722,5.398,5.412,10267005,5.456
2016-02-03 05:00:00+00:00,5.43,5.446,5.206,5.278,14139490,5.286
2016-02-04 05:00:00+00:00,5.276,5.352,5.184,5.344,14598050,5.276
2016-02-05 05:00:00+00:00,5.304,5.314,4.868,5.022,26458390,5.005
2016-02-08 05:00:00+00:00,4.944,4.972,4.682,4.846,20513055,4.824
2016-02-09 05:00:00+00:00,4.74,5.028,4.732,4.768,13114390,4.837
2016-02-10 05:00:00+00:00,4.81,4.962,4.772,4.782,17673635,4.831
2016-02-11 05:00:00+00:00,4.698,4.808,4.632,4.766,14589355,4.731
2016-02-12 05:00:00+00:00,4.846,4.85,4.702,4.822,11207445,4.803
2016-02-16 05:00:00+00:00,4.916,5.112,4.878,5.084,17987395,5.023
2016-02-17 05:00:00+00:00,5.094,5.297,5.06,5.236,15328505,5.211
2016-02-18 05:00:00+00:00,5.192,5.232,5.052,5.118,12819385,5.121
2016-02-19 05:00:00+00:00,5.1,5.233,5.074,5.218,9628755,5.178
2016-02-22 05:00:00+00:00,5.242,5.424,5.216,5.314,14078155,5.328
2016-02-23 05:00:00+00:00,5.312,5.354,5.228,5.31,10485335,5.291
2016-02-24 05:00:00+00:00,5.242,5.481,5.214,5.46,14077360,5.395
2016-02-25 05:00:00+00:00,5.5,5.628,5.402,5.612,13181375,5.534
2016-02-26 05:00:00+00:00,5.7,5.722,5.572,5.622,8276685,5.623
2016-02-29 05:00:00+00:00,5.66,5.84,5.642,5.68,13049055,5.722
2016-03-01 05:00:00+00:00,5.75,5.974,5.704,5.922,11309105,5.874
2016-03-02 05:00:00+00:00,5.898,5.92,5.784,5.87,12851020,5.836
2016-03-03 05:00:00+00:00,5.982,5.982,5.7,5.754,15615090,5.75
2016-03-04 05:00:00+00:00,5.75,5.798,5.66,5.702,8260720,5.717
2016-03-07 05:00:00+00:00,5.652,5.736,5.604,5.684,7449490,5.669
2016-03-08 05:00:00+00:00,5.638,5.674,5.43,5.438,8910275,5.479
2016-03-09 05:00:00+00:00,5.468,5.607,5.422,5.534,9666360,5.53
2016-03-10 05:00:00+00:00,5.562,5.612,5.416,5.5,6651200,5.486
2016-03-11 05:00:00+00:00,5.552,5.726,5.548,5.704,5596170,5.678
2016-03-14 04:00:00+00:00,5.66,5.732,5.564,5.602,7432125,5.61
2016-03-15 04:00:00+00:00,5.59,5.628,5.484,5.52,7876805,5.542
2016-03-16 04:00:00+00:00,5.452,5.688,5.44,5.658,6623035,5.618
2016-03-17 04:00:00+00:00,5.622,5.83,5.602,5.798,9010710,5.761
2016-03-18 04:00:00+00:00,5.81,5.87,5.738,5.74,13744560,5.781
2016-03-21 04:00:00+00:00,5.91,5.992,5.834,5.932,11676835,5.932
2016-03-22 04:00:00+00:00,5.894,6.071,5.744,5.792,21264440,5.896
2016-03-23 04:00:00+00:00,5.78,5.78,5.59,5.686,16152450,5.669
2016-03-24 04:00:00+00:00,5.644,5.722,5.59,5.706,7321800,5.673
2016-03-28 04:00:00+00:00,5.736,5.748,5.602,5.728,7892070,5.699
2016-03-29 04:00:00+00:00,5.718,5.822,5.656,5.816,7412755,5.771
2016-03-30 04:00:00+00:00,5.858,5.956,5.846,5.88,7850605,5.907
2016-03-31 04:00:00+00:00,5.98,6.2,5.96,6.126,17734745,6.1
2016-04-01 04:00:00+00:00,6.05,6.21,6.039,6.2,14628980,6.16
2016-04-04 04:00:00+00:00,6.196,6.231,6.152,6.2,9709940,6.192
2016-04-05 04:00:00+00:00,6.14,6.238,6.114,6.128,11745890,6.161
2016-04-06 04:00:00+00:00,6.148,6.166,6.074,6.134,6307165,6.119
2016-04-07 04:00:00+00:00,6.1,6.143,6.026,6.07,8627620,6.064
2016-04-08 04:00:00+00:00,6.144,6.196,6.042,6.072,6199055,6.07
2016-04-11 04:00:00+00:00,6.09,6.156,5.983,5.988,5536265,6.04
2016-04-12 04:00:00+00:00,5.908,5.928,5.616,5.758,20590255,5.734
2016-04-13 04:00:00+00:00,5.83,5.994,5.804,5.958,13606970,5.915
2016-04-14 04:00:00+00:00,5.932,5.968,5.854,5.886,12017585,5.911
2016-04-15 04:00:00+00:00,5.874,5.96,5.862,5.928,9074520,5.921
2016-04-18 04:00:00+00:00,5.898,6.11,5.866,6.054,8183125,6.035
2016-04-19 04:00:00+00:00,6.082,6.091,5.912,6.004,7999330,6.007
2016-04-20 04:00:00+00:00,5.952,6.206,5.908,6.158,13087520,6.096
