ts,open,high,low,close,volume,vwap
2016-01-04 05:00:00+00:00,37.8,37.8,37.07,37.66,70925280,37.46
2016-01-05 05:00:00+00:00,37.89,38.14,37.47,37.76,49440460,37.8
2016-01-06 05:00:00+00:00,37.21,37.97,37.09,37.65,49511060,37.63
2016-01-07 05:00:00+00:00,37.02,37.45,36.46,36.74,66006000,37.0
2016-01-08 05:00:00+00:00,37.08,37.2,36.15,36.24,52101400,36.56
2016-01-11 05:00:00+00:00,36.3,36.45,35.68,36.35,52905060,36.16
2016-01-12 05:00:00+00:00,36.73,37.11,36.52,36.96,48969100,36.89
2016-01-13 05:00:00+00:00,37.16,37.34,35.54,35.68,55674540,36.18
2016-01-14 05:00:00+00:00,35.92,36.69,34.96,36.27,58396600,36.02
2016-01-15 05:00:00+00:00,35.21,35.91,34.79,35.23,82997220,35.25
2016-01-19 05:00:00+00:00,35.71,35.97,35.2,35.66,51943680,35.63
2016-01-20 05:00:00+00:00,35.0,36.05,34.11,35.63,86439500,35.05
2016-01-21 05:00:00+00:00,35.71,36.58,35.26,36.03,54704960,36.04
2016-01-22 05:00:00+00:00,36.79,37.12,36.72,36.97,51868780,36.95
2016-01-25 05:00:00+00:00,36.89,37.31,36.32,36.38,47522700,36.79
2016-01-26 05:00:00+00:00,36.46,36.67,36.05,36.39,32679540,36.33
2016-01-27 05:00:00+00:00,36.49,36.49,35.38,35.58,44500200,35.93
2016-01-28 05:00:00+00:00,36.61,37.25,36.23,37.11,65162740,36.84
2016-01-29 05:00:00+00:00,37.14,37.94,36.9,37.75,83482760,37.65
2016-02-01 05:00:00+00:00,38.25,38.56,37.76,38.22,114076640,38.17
2016-02-02 05:00:00+00:00,39.7,40.18,38.71,38.72,136834040,39.49
2016-02-03 05:00:00+00:00,38.99,39.25,36.51,37.16,133683020,37.54
2016-02-04 05:00:00+00:00,36.92,36.95,35.83,36.2,107688740,36.31
2016-02-05 05:00:00+00:00,35.98,36.04,34.72,34.9,112967440,35.2
2016-02-08 05:00:00+00:00,34.1,34.94,33.82,34.92,92992540,34.38
2016-02-09 05:00:00+00:00,34.36,35.75,34.14,34.76,86033620,34.97
2016-02-10 05:00:00+00:00,35.3,35.86,34.98,35.05,61814520,35.38
2016-02-11 05:00:00+00:00,34.53,35.32,34.27,35.03,66834860,34.72
2016-02-12 05:00:00+00:00,35.32,35.51,34.79,35.05,50653440,35.12
2016-02-16 05:00:00+00:00,35.64,35.85,35.22,35.59,46261360,35.55
