ts,open,high,low,close,volume,vwap
2016-01-04 05:00:00+00:00,46.72,46.81,46.52,46.77,14976540,46.68
2016-01-05 05:00:00+00:00,46.91,47.02,46.76,46.86,11579230,46.87
2016-01-06 05:00:00+00:00,46.67,46.91,46.67,46.86,11394664,46.81
2016-01-07 05:00:00+00:00,46.52,46.71,46.49,46.56,11216133,46.61
2016-01-08 05:00:00+00:00,46.74,46.84,46.42,46.43,19957321,46.63
2016-01-11 05:00:00+00:00,46.63,46.69,46.31,46.36,17374890,46.47
2016-01-12 05:00:00+00:00,46.65,46.69,42.29,46.41,15611004,46.34
2016-01-13 05:00:00+00:00,46.45,46.49,45.83,45.9,23540131,46.11
2016-01-14 05:00:00+00:00,45.93,46.15,45.71,46.1,18784737,45.96
2016-01-15 05:00:00+00:00,45.35,46.1,45.21,45.49,27668472,45.41
2016-01-19 05:00:00+00:00,45.52,45.62,45.19,45.34,16336886,45.36
2016-01-20 05:00:00+00:00,44.98,45.21,44.27,45.03,26121761,44.74
2016-01-21 05:00:00+00:00,45.03,45.52,44.85,45.34,20194236,45.26
2016-01-22 05:00:00+00:00,45.78,46.08,45.69,46.04,17936503,45.86
2016-01-25 05:00:00+00:00,45.89,45.98,45.56,45.58,17033439,45.77
2016-01-26 05:00:00+00:00,45.76,46.01,45.65,45.98,12180016,45.87
2016-01-27 05:00:00+00:00,45.97,46.18,45.77,45.91,14361059,45.98
2016-01-28 05:00:00+00:00,46.2,46.3,45.98,46.15,14759514,46.13
2016-01-29 05:00:00+00:00,46.25,46.39,46.2,46.3,14365677,46.32
2016-02-01 05:00:00+00:00,46.22,46.24,45.96,46.03,9022918,46.06
2016-02-02 05:00:00+00:00,45.8,45.9,45.67,45.7,15321429,45.76
2016-02-03 05:00:00+00:00,45.84,46.01,45.56,45.92,15681404,45.77
2016-02-04 05:00:00+00:00,45.9,46.0,45.73,45.77,9356428,45.83
2016-02-05 05:00:00+00:00,45.77,45.77,45.35,45.43,15009676,45.52
2016-02-08 05:00:00+00:00,45.05,45.07,44.76,44.89,16085648,44.9
2016-02-09 05:00:00+00:00,44.65,44.93,44.52,44.72,18914553,44.72
2016-02-10 05:00:00+00:00,44.84,45.03,44.57,44.66,14034389,44.76
2016-02-11 05:00:00+00:00,44.22,44.52,44.07,44.36,22732145,44.27
2016-02-12 05:00:00+00:00,44.52,45.06,44.47,45.02,17855470,44.81
2016-02-16 05:00:00+00:00,45.08,45.2,45.01,45.06,14175334,45.09
2016-02-17 05:00:00+00:00,45.29,45.53,45.25,45.43,16706992,45.41
2016-02-18 05:00:00+00:00,45.6,45.63,45.45,45.47,13264953,45.53
2016-02-19 05:00:00+00:00,45.28,45.59,45.22,45.56,13053975,45.44
2016-02-22 05:00:00+00:00,45.8,45.98,45.74,45.96,15334508,45.88
