ts,open,high,low,close,volume,vwap
2016-01-04 05:00:00+00:00,48.64,48.73,47.93,48.39,27827227,48.25
2016-01-05 05:00:00+00:00,48.44,48.78,47.95,48.47,17591872,48.31
2016-01-06 05:00:00+00:00,47.69,48.01,47.42,47.77,24407202,47.72
2016-01-07 05:00:00+00:00,46.75,47.16,45.7,45.84,29310297,46.28
2016-01-08 05:00:00+00:00,46.5,46.6,44.76,44.82,24651311,45.48
2016-01-11 05:00:00+00:00,44.75,45.04,44.15,44.75,22817923,44.67
2016-01-12 05:00:00+00:00,45.22,45.3,44.19,44.85,25270274,44.67
2016-01-13 05:00:00+00:00,45.23,45.39,43.29,43.61,30217716,44.19
2016-01-14 05:00:00+00:00,44.24,45.17,43.58,44.27,33573741,44.41
2016-01-15 05:00:00+00:00,42.95,43.79,42.76,43.39,41554946,43.22
2016-01-19 05:00:00+00:00,43.91,44.09,42.98,43.36,24431201,43.45
2016-01-20 05:00:00+00:00,42.31,42.73,41.58,42.22,36466432,42.12
2016-01-21 05:00:00+00:00,42.4,42.99,41.88,42.02,36669282,42.33
2016-01-22 05:00:00+00:00,42.93,43.48,42.82,43.32,24764161,43.19
2016-01-25 05:00:00+00:00,42.96,43.24,42.29,42.34,22118832,42.7
2016-01-26 05:00:00+00:00,42.48,43.47,42.45,43.42,19392731,43.21
2016-01-27 05:00:00+00:00,43.43,44.32,43.02,43.39,21426316,43.6
2016-01-28 05:00:00+00:00,43.75,44.09,43.07,43.57,16677125,43.57
2016-01-29 05:00:00+00:00,44.01,45.29,43.74,45.26,32348693,44.73
2016-02-01 05:00:00+00:00,45.0,45.37,44.45,44.77,17857599,44.79
2016-02-02 05:00:00+00:00,44.02,44.1,43.17,43.38,24152125,43.46
2016-02-03 05:00:00+00:00,43.64,43.96,41.85,43.67,33165548,43.0
2016-02-04 05:00:00+00:00,43.4,44.51,43.4,44.42,22461101,44.14
2016-02-05 05:00:00+00:00,44.56,44.98,43.67,43.93,23193618,44.13
2016-02-08 05:00:00+00:00,43.12,43.29,42.24,43.01,31118661,42.73
2016-02-09 05:00:00+00:00,42.05,43.12,41.93,42.75,28129371,42.51
2016-02-10 05:00:00+00:00,43.03,43.67,42.19,42.23,23681132,42.81
2016-02-11 05:00:00+00:00,41.0,41.0,39.93,40.37,47104421,40.52
2016-02-12 05:00:00+00:00,42.36,43.79,41.96,43.73,39131472,43.15
2016-02-16 05:00:00+00:00,44.29,44.57,43.84,44.38,27076385,44.29
2016-02-17 05:00:00+00:00,44.76,45.07,44.42,44.7,23586374,44.73
2016-02-18 05:00:00+00:00,44.75,44.77,43.55,43.97,17907774,44.01
2016-02-19 05:00:00+00:00,43.7,44.25,43.41,43.98,16361894,43.91
2016-02-22 05:00:00+00:00,44.5,44.79,44.44,44.55,16155199,44.58
2016-02-23 05:00:00+00:00,44.04,44.18,42.56,42.69,33640603,42.93
2016-02-24 05:00:00+00:00,41.99,42.75,41.32,42.7,26721161,42.02
2016-02-25 05:00:00+00:00,42.69,43.38,42.63,43.36,15775282,43.08
2016-02-26 05:00:00+00:00,43.84,44.2,43.46,43.77,22158852,43.83
2016-02-29 05:00:00+00:00,43.67,43.82,42.82,42.82,21773410,43.19
2016-03-01 05:00:00+00:00,43.17,45.03,43.1,45.03,25376529,44.42
2016-03-02 05:00:00+00:00,45.03,45.56,44.85,45.45,21567990,45.28
2016-03-03 05:00:00+00:00,45.31,45.61,44.95,45.61,16844823,45.38
2016-03-04 05:00:00+00:00,45.68,46.06,45.28,45.68,20038841,45.7
2016-03-07 05:00:00+00:00,45.29,45.68,45.12,45.59,13639308,45.47
2016-03-08 05:00:00+00:00,45.04,45.26,44.63,44.71,15290808,44.89
2016-03-09 05:00:00+00:00,45.0,45.29,44.63,44.97,14500641,44.95
2016-03-10 05:00:00+00:00,45.33,45.39,43.97,44.58,22432243,44.61
2016-03-11 05:00:00+00:00,45.17,45.26,44.61,45.14,23275887,44.99
2016-03-14 04:00:00+00:00,44.99,45.11,44.57,44.97,15334892,44.92
2016-03-15 04:00:00+00:00,44.52,45.04,44.44,45.03,11558983,44.81
2016-03-16 04:00:00+00:00,44.86,45.45,44.47,44.82,18082578,44.96
