ts,open,high,low,close,volume,vwap
2016-01-04 05:00:00+00:00,36.78,37.33,36.39,37.29,13853155,36.95
2016-01-05 05:00:00+00:00,37.54,37.65,36.51,36.56,14388945,36.85
2016-01-06 05:00:00+00:00,35.98,36.2,35.54,36.19,16718873,36.02
2016-01-07 05:00:00+00:00,35.55,35.71,34.21,34.33,21740504,34.65
2016-01-08 05:00:00+00:00,34.83,34.86,34.11,34.13,16347308,34.34
2016-01-11 05:00:00+00:00,34.49,34.62,33.73,34.28,14432305,34.17
2016-01-12 05:00:00+00:00,34.56,34.73,33.94,34.61,9925306,34.36
2016-01-13 05:00:00+00:00,35.13,35.69,34.28,34.3,19316986,34.73
2016-01-14 05:00:00+00:00,34.38,35.72,34.11,35.51,23397884,35.21
2016-01-15 05:00:00+00:00,34.26,34.61,33.58,34.09,19074684,34.14
2016-01-19 05:00:00+00:00,34.6,34.66,33.83,34.29,14016284,34.21
2016-01-20 05:00:00+00:00,33.85,34.36,33.03,34.17,16680835,33.79
2016-01-21 05:00:00+00:00,34.49,35.3,34.01,35.01,14148768,34.94
2016-01-22 05:00:00+00:00,35.57,35.92,35.3,35.77,13428801,35.61
2016-01-25 05:00:00+00:00,35.69,36.0,35.36,35.4,10322090,35.63
2016-01-26 05:00:00+00:00,35.42,36.35,35.36,36.1,9811843,35.97
2016-01-27 05:00:00+00:00,35.71,36.15,35.09,35.36,13098997,35.57
2016-01-28 05:00:00+00:00,34.08,34.09,32.34,32.43,29352984,32.86
2016-01-29 05:00:00+00:00,32.77,33.74,32.49,33.73,28152911,33.51
2016-02-01 05:00:00+00:00,33.27,34.53,33.03,34.31,13934212,33.89
2016-02-02 05:00:00+00:00,33.62,33.78,31.9,32.11,21043989,32.52
2016-02-03 05:00:00+00:00,32.44,33.48,32.22,33.28,17750569,32.88
2016-02-04 05:00:00+00:00,33.2,34.05,33.02,33.97,11226303,33.73
2016-02-05 05:00:00+00:00,33.82,33.93,32.56,32.75,11445019,33.01
2016-02-08 05:00:00+00:00,32.37,32.86,31.87,32.66,13532337,32.42
2016-02-09 05:00:00+00:00,32.48,32.78,32.12,32.45,10745270,32.46
2016-02-10 05:00:00+00:00,32.74,33.12,31.92,31.96,10449176,32.41
2016-02-11 05:00:00+00:00,31.63,32.21,31.43,31.99,13178088,31.88
2016-02-12 05:00:00+00:00,32.25,33.3,32.05,33.15,12620076,32.81
2016-02-16 05:00:00+00:00,33.93,34.84,33.78,34.77,15464642,34.53
2016-02-17 05:00:00+00:00,35.01,36.11,34.98,36.02,15830969,35.85
2016-02-18 05:00:00+00:00,36.02,36.69,35.73,36.52,14013190,36.35
2016-02-19 05:00:00+00:00,36.49,37.23,36.28,36.77,17230941,36.64
2016-02-22 05:00:00+00:00,37.26,38.16,37.25,38.15,15535035,37.9
2016-02-23 05:00:00+00:00,37.95,37.95,37.28,37.51,10134608,37.57
2016-02-24 05:00:00+00:00,37.2,38.44,37.0,38.33,11542702,37.85
2016-02-25 05:00:00+00:00,38.32,38.53,37.87,38.42,9150758,38.21
2016-02-26 05:00:00+00:00,38.69,38.69,38.11,38.41,10065259,38.43
2016-02-29 05:00:00+00:00,38.43,38.7,38.09,38.15,14116235,38.33
2016-03-01 05:00:00+00:00,38.36,39.14,38.35,39.14,12772195,38.88
2016-03-02 05:00:00+00:00,39.35,39.79,39.24,39.69,16677468,39.54
2016-03-03 05:00:00+00:00,39.39,39.66,38.95,39.34,13150543,39.32
2016-03-04 05:00:00+00:00,39.3,39.73,38.98,39.55,13705671,39.41
2016-03-07 05:00:00+00:00,39.39,40.2,39.33,40.03,10738201,39.93
2016-03-08 05:00:00+00:00,39.72,39.96,39.04,39.4,12310476,39.55
2016-03-09 05:00:00+00:00,39.36,39.45,38.86,39.02,14557850,39.07
2016-03-10 05:00:00+00:00,38.99,39.33,38.43,39.07,9979072,38.87
2016-03-11 05:00:00+00:00,39.5,39.54,38.97,39.22,12243101,39.18
2016-03-14 04:00:00+00:00,39.24,39.36,38.86,39.12,8347923,39.19
2016-03-15 04:00:00+00:00,38.87,38.93,38.29,38.78,13927325,38.62
2016-03-16 04:00:00+00:00,38.78,38.78,38.24,38.53,21523615,38.42
2016-03-17 04:00:00+00:00,38.42,38.82,38.39,38.59,10925029,38.67
2016-03-18 04:00:00+00:00,38.82,38.96,38.48,38.75,42756493,38.76
2016-03-21 04:00:00+00:00,38.76,39.32,38.69,39.21,13394402,39.13
2016-03-22 04:00:00+00:00,38.91,39.3,38.9,39.07,7683903,39.1
2016-03-23 04:00:00+00:00,39.15,39.18,38.16,38.3,9967987,38.44
2016-03-24 04:00:00+00:00,38.03,38.23,37.65,38.2,8768016,38.07
2016-03-28 04:00:00+00:00,37.88,38.01,37.52,37.7,9962804,37.68
2016-03-29 04:00:00+00:00,37.55,38.26,37.31,38.07,10951031,37.94
2016-03-30 04:00:00+00:00,38.43,38.79,38.1,38.3,7684170,38.38
2016-03-31 04:00:00+00:00,38.21,38.63,38.18,38.41,8011439,38.43
2016-04-01 04:00:00+00:00,38.36,38.39,37.56,38.21,10232665,37.96
2016-04-04 04:00:00+00:00,38.16,38.39,37.94,38.04,6772758,38.14
2016-04-05 04:00:00+00:00,37.88,37.95,37.55,37.61,7366419,37.69
2016-04-06 04:00:00+00:00,37.66,38.1,37.35,38.02,8099733,37.72
2016-04-07 04:00:00+00:00,37.85,37.89,37.38,37.58,8063151,37.59
2016-04-08 04:00:00+00:00,37.83,38.42,37.74,37.97,5938464,38.04
2016-04-11 04:00:00+00:00,38.2,38.74,38.2,38.3,9334057,38.41
2016-04-12 04:00:00+00:00,38.34,38.38,37.7,38.17,6405552,38.09
2016-04-13 04:00:00+00:00,38.53,39.39,38.42,39.0,14336083,39.03
2016-04-14 04:00:00+00:00,38.94,38.97,38.48,38.92,9465194,38.86
2016-04-15 04:00:00+00:00,39.0,39.05,38.33,38.35,11626035,38.66
2016-04-18 04:00:00+00:00,38.37,38.85,38.26,38.72,9302845,38.69
2016-04-19 04:00:00+00:00,38.85,39.0,38.53,38.93,9822410,38.83
2016-04-20 04:00:00+00:00,39.0,39.46,38.91,39.12,11704214,39.23
2016-04-21 04:00:00+00:00,38.53,38.91,38.11,38.81,18173699,38.59
2016-04-22 04:00:00+00:00,38.84,39.87,38.82,39.54,15727216,39.46
2016-04-25 04:00:00+00:00,39.51,39.6,39.08,39.38,7368101,39.33
2016-04-26 04:00:00+00:00,39.46,39.78,39.39,39.74,8095695,39.66
2016-04-27 04:00:00+00:00,39.08,39.9,39.06,39.73,9330749,39.64
2016-04-28 04:00:00+00:00,39.42,40.02,39.09,39.15,8223037,39.54
2016-04-29 04:00:00+00:00,38.93,39.06,37.64,37.94,12962563,37.99
2016-05-02 04:00:00+00:00,38.07,38.43,37.65,38.39,7541030,38.19
2016-05-03 04:00:00+00:00,38.06,38.24,37.7,38.1,8192629,37.98
2016-05-04 04:00:00+00:00,37.7,38.21,37.67,37.92,12546709,38.0
2016-05-05 04:00:00+00:00,38.11,38.51,37.88,38.4,10548696,38.3
2016-05-06 04:00:00+00:00,38.04,38.4,37.84,38.24,10349121,38.1
2016-05-09 04:00:00+00:00,38.3,38.76,38.15,38.45,7547367,38.44
2016-05-10 04:00:00+00:00,38.5,39.23,38.28,39.17,8631046,38.96
2016-05-11 04:00:00+00:00,38.93,39.45,38.82,39.17,9038077,39.25
2016-05-12 04:00:00+00:00,39.3,39.45,38.57,38.69,9889154,38.86
2016-05-13 04:00:00+00:00,38.65,39.12,38.38,38.54,7546737,38.69
2016-05-16 04:00:00+00:00,38.54,39.18,38.39,38.99,7851416,38.93
2016-05-17 04:00:00+00:00,38.86,39.27,38.68,39.05,10081498,39.04
2016-05-18 04:00:00+00:00,39.11,40.06,39.06,39.65,11385990,39.72
2016-05-19 04:00:00+00:00,39.59,39.87,39.25,39.63,8936210,39.52
2016-05-20 04:00:00+00:00,39.78,40.99,39.71,40.95,15133372,40.61
2016-05-23 04:00:00+00:00,40.71,41.2,40.67,40.69,10941350,40.84
2016-05-24 04:00:00+00:00,40.87,41.77,40.86,41.75,13678663,41.59
2016-05-25 04:00:00+00:00,41.83,42.26,41.83,42.04,9703889,42.05
2016-05-26 04:00:00+00:00,42.04,42.16,41.69,41.86,7431046,41.85
2016-05-27 04:00:00+00:00,41.96,42.0,41.72,41.91,6613725,41.87
2016-05-31 04:00:00+00:00,42.0,42.03,41.57,41.64,19215891,41.69
2016-06-01 04:00:00+00:00,41.33,41.68,41.29,41.55,12727725,41.56
2016-06-02 04:00:00+00:00,41.44,41.64,41.16,41.61,9707670,41.47
2016-06-03 04:00:00+00:00,41.7,41.71,41.3,41.66,10981975,41.56
2016-06-06 04:00:00+00:00,41.69,41.99,41.45,41.62,9208682,41.66
2016-06-07 04:00:00+00:00,41.66,41.84,41.45,41.58,5969951,41.6
