ts,open,high,low,close,volume,vwap
2016-01-04 05:00:00+00:00,28.08,28.19,27.66,28.11,10416375,27.93
2016-01-05 05:00:00+00:00,28.14,28.33,27.75,28.02,6451684,27.98
2016-01-06 05:00:00+00:00,27.46,27.58,26.83,27.06,9118423,27.19
2016-01-07 05:00:00+00:00,26.3,26.55,25.46,25.65,15583056,25.92
2016-01-08 05:00:00+00:00,25.91,26.21,25.43,25.49,15906925,25.74
2016-01-11 05:00:00+00:00,25.68,25.82,24.82,25.26,16757713,25.21
2016-01-12 05:00:00+00:00,25.52,25.86,25.32,25.7,11452768,25.6
2016-01-13 05:00:00+00:00,25.67,25.89,24.13,24.35,12947759,24.72
2016-01-14 05:00:00+00:00,24.49,24.95,23.65,24.71,11419322,24.54
2016-01-15 05:00:00+00:00,23.71,24.19,23.32,23.75,20839617,23.72
2016-01-19 05:00:00+00:00,24.65,24.69,23.05,23.3,15330031,23.58
2016-01-20 05:00:00+00:00,22.75,22.75,21.41,22.21,29341943,22.06
2016-01-21 05:00:00+00:00,22.23,22.39,21.41,21.43,28512658,21.79
2016-01-22 05:00:00+00:00,22.09,22.76,21.77,22.7,20860169,22.45
2016-01-25 05:00:00+00:00,22.6,22.81,22.08,22.12,16956516,22.33
2016-01-26 05:00:00+00:00,22.32,22.62,22.09,22.37,12325352,22.28
2016-01-27 05:00:00+00:00,22.29,22.87,21.96,22.19,11177625,22.34
2016-01-28 05:00:00+00:00,22.44,22.59,21.66,21.81,12522309,21.94
2016-01-29 05:00:00+00:00,22.09,22.53,21.73,22.44,15199561,22.29
2016-02-01 05:00:00+00:00,22.35,22.4,21.95,22.22,9844494,22.18
2016-02-02 05:00:00+00:00,21.86,21.86,20.99,21.19,10710249,21.28
2016-02-03 05:00:00+00:00,21.38,21.6,20.14,21.43,23896929,21.0
2016-02-04 05:00:00+00:00,21.37,22.12,21.36,21.95,14173835,21.86
2016-02-05 05:00:00+00:00,21.87,22.38,21.32,21.41,11286562,21.61
2016-02-08 05:00:00+00:00,20.87,20.93,20.34,20.75,18724162,20.62
2016-02-09 05:00:00+00:00,20.13,20.95,20.08,20.51,17779689,20.54
2016-02-10 05:00:00+00:00,20.8,21.25,19.99,20.0,17595747,20.39
2016-02-11 05:00:00+00:00,19.25,19.73,18.95,19.58,22694958,19.32
2016-02-12 05:00:00+00:00,20.08,20.29,19.54,20.11,10959274,19.97
2016-02-16 05:00:00+00:00,20.75,20.95,20.31,20.78,10380846,20.69
2016-02-17 05:00:00+00:00,21.15,21.71,21.12,21.57,12953049,21.54
2016-02-18 05:00:00+00:00,21.59,21.67,21.01,21.29,9337755,21.25
2016-02-19 05:00:00+00:00,21.1,21.74,21.1,21.54,9894970,21.49
2016-02-22 05:00:00+00:00,21.78,22.12,21.44,21.62,11961149,21.69
2016-02-23 05:00:00+00:00,21.55,21.59,21.11,21.26,10877656,21.29
2016-02-24 05:00:00+00:00,20.84,21.0,20.27,20.87,12343624,20.66
2016-02-25 05:00:00+00:00,20.92,21.24,20.77,21.23,8458221,21.02
2016-02-26 05:00:00+00:00,21.53,22.66,21.49,22.44,17364062,22.35
2016-02-29 05:00:00+00:00,22.34,22.52,22.04,22.07,13873468,22.26
2016-03-01 05:00:00+00:00,22.36,23.38,22.27,23.25,11792739,23.04
2016-03-02 05:00:00+00:00,23.27,23.59,23.18,23.56,10489367,23.46
2016-03-03 05:00:00+00:00,23.41,23.95,23.16,23.89,9919818,23.7
2016-03-04 05:00:00+00:00,24.19,24.52,23.74,23.92,10660638,24.05
2016-03-07 05:00:00+00:00,23.72,24.31,23.43,24.26,8695368,24.1
2016-03-08 05:00:00+00:00,23.88,24.06,23.23,23.5,11863943,23.58
