ts,open,high,low,close,volume,vwap
2016-01-04 05:00:00+00:00,52.64,52.66,51.95,52.44,8944021,52.23
2016-01-05 05:00:00+00:00,52.46,53.62,52.41,53.45,7390943,53.27
2016-01-06 05:00:00+00:00,52.97,53.39,52.95,53.31,5772082,53.22
2016-01-07 05:00:00+00:00,52.66,52.88,52.22,52.27,6321818,52.55
2016-01-08 05:00:00+00:00,52.62,52.66,51.48,51.57,4653368,52.13
2016-01-11 05:00:00+00:00,51.62,52.17,51.6,51.86,5066548,51.91
2016-01-12 05:00:00+00:00,52.14,52.2,51.25,51.52,5970755,51.52
2016-01-13 05:00:00+00:00,51.68,52.06,50.67,50.78,7747991,51.4
2016-01-14 05:00:00+00:00,50.71,51.12,50.28,50.66,5190643,50.72
2016-01-15 05:00:00+00:00,50.02,50.44,49.63,50.31,5618579,50.07
2016-01-19 05:00:00+00:00,50.54,50.97,50.31,50.58,5096449,50.56
2016-01-20 05:00:00+00:00,50.0,50.13,48.16,49.22,9188624,49.09
2016-01-21 05:00:00+00:00,49.45,50.19,49.05,49.49,6884720,49.6
2016-01-22 05:00:00+00:00,49.97,51.06,49.89,50.87,4561827,50.66
2016-01-25 05:00:00+00:00,50.76,51.31,50.42,50.55,4713149,50.74
2016-01-26 05:00:00+00:00,50.78,51.63,50.68,51.61,5255128,51.34
2016-01-27 05:00:00+00:00,51.54,51.54,50.29,50.61,4909481,50.88
2016-01-28 05:00:00+00:00,50.9,51.09,50.03,50.22,5685551,50.65
2016-01-29 05:00:00+00:00,50.53,51.31,50.15,51.26,11755380,50.92
2016-02-01 05:00:00+00:00,50.94,51.78,50.78,51.34,6984306,51.37
2016-02-02 05:00:00+00:00,51.1,51.26,50.59,50.88,6419338,50.8
2016-02-03 05:00:00+00:00,51.14,51.42,50.58,51.22,5858026,50.99
2016-02-04 05:00:00+00:00,51.18,51.52,50.72,51.24,4494167,51.27
2016-02-05 05:00:00+00:00,51.14,51.14,50.22,50.27,4112997,50.61
2016-02-08 05:00:00+00:00,49.94,50.01,48.06,48.83,5470494,48.73
2016-02-09 05:00:00+00:00,48.34,48.47,47.56,47.93,9144888,47.95
2016-02-10 05:00:00+00:00,48.25,48.92,48.05,48.27,3910077,48.56
2016-02-11 05:00:00+00:00,47.59,47.9,47.2,47.58,4960275,47.58
2016-02-12 05:00:00+00:00,48.02,48.26,47.63,48.13,5133846,47.98
2016-02-16 05:00:00+00:00,48.5,49.07,48.27,49.01,4002403,48.68
2016-02-17 05:00:00+00:00,49.2,49.99,49.06,49.43,3076279,49.62
2016-02-18 05:00:00+00:00,49.54,50.06,49.23,49.93,3585247,49.82
2016-02-19 05:00:00+00:00,49.76,50.43,49.59,50.22,2906366,50.17
2016-02-22 05:00:00+00:00,50.62,51.07,50.6,50.7,3031296,50.75
2016-02-23 05:00:00+00:00,50.65,51.16,50.48,50.56,2622720,50.71
2016-02-24 05:00:00+00:00,50.34,50.61,49.99,50.5,3099437,50.28
2016-02-25 05:00:00+00:00,50.73,51.56,50.73,51.54,3442628,51.32
2016-02-26 05:00:00+00:00,51.48,51.72,51.25,51.27,3192214,51.49
2016-02-29 05:00:00+00:00,51.22,51.78,50.99,51.07,5421388,51.26
2016-03-01 05:00:00+00:00,51.12,52.51,51.02,52.51,5742606,51.96
2016-03-02 05:00:00+00:00,52.3,52.91,52.2,52.89,3773733,52.69
2016-03-03 05:00:00+00:00,52.91,53.17,52.63,53.17,3044610,52.93
2016-03-04 05:00:00+00:00,53.08,53.22,52.79,53.17,2820879,53.06
2016-03-07 05:00:00+00:00,52.9,53.43,52.81,53.31,3762988,53.2
2016-03-08 05:00:00+00:00,53.24,53.29,52.7,52.77,2841368,52.97
2016-03-09 05:00:00+00:00,52.93,53.34,52.81,53.06,3606785,53.13
2016-03-10 05:00:00+00:00,53.43,53.53,52.28,52.87,2495861,52.91
2016-03-11 05:00:00+00:00,53.4,54.11,53.28,54.05,2563618,53.72
2016-03-14 04:00:00+00:00,53.97,54.11,53.76,54.06,2620378,53.93
2016-03-15 04:00:00+00:00,53.83,54.2,53.72,54.09,1912152,53.98
2016-03-16 04:00:00+00:00,53.93,54.82,53.74,54.74,3504690,54.37
2016-03-17 04:00:00+00:00,54.82,55.63,54.58,55.51,5599995,55.29
2016-03-18 04:00:00+00:00,55.62,55.76,55.27,55.27,3323885,55.47
2016-03-21 04:00:00+00:00,55.18,55.36,54.68,54.78,4434903,54.88
2016-03-22 04:00:00+00:00,54.67,54.94,54.45,54.78,4804172,54.74
2016-03-23 04:00:00+00:00,54.78,54.84,54.45,54.48,2996360,54.62
2016-03-24 04:00:00+00:00,54.39,54.55,54.02,54.5,2870117,54.28
2016-03-28 04:00:00+00:00,54.49,55.11,54.47,54.99,3924740,54.79
2016-03-29 04:00:00+00:00,55.06,56.21,54.89,56.18,5123236,55.65
2016-03-30 04:00:00+00:00,56.33,56.45,56.03,56.08,3571755,56.21
2016-03-31 04:00:00+00:00,56.07,56.49,55.96,56.42,7794640,56.33
2016-04-01 04:00:00+00:00,56.31,56.44,56.0,56.35,5313065,56.24
2016-04-04 04:00:00+00:00,56.46,56.51,56.07,56.27,6953076,56.23
2016-04-05 04:00:00+00:00,56.02,56.16,55.75,55.9,3348610,55.93
2016-04-06 04:00:00+00:00,55.92,56.06,55.61,56.03,2965012,55.88
2016-04-07 04:00:00+00:00,55.9,56.03,55.43,55.68,2358878,55.68
2016-04-08 04:00:00+00:00,55.97,60.16,55.85,55.99,3410040,56.19
2016-04-11 04:00:00+00:00,56.1,56.26,55.86,55.88,2866498,56.04
2016-04-12 04:00:00+00:00,56.0,56.41,55.85,56.28,2515294,56.17
2016-04-13 04:00:00+00:00,56.44,56.47,55.84,56.03,2841196,56.03
2016-04-14 04:00:00+00:00,56.0,56.04,55.57,55.72,2050871,55.73
2016-04-15 04:00:00+00:00,55.83,56.27,55.55,56.14,2461493,56.04
2016-04-18 04:00:00+00:00,56.05,56.41,55.97,56.41,2395350,56.21
2016-04-19 04:00:00+00:00,56.56,56.56,56.2,56.44,3151413,56.39
2016-04-20 04:00:00+00:00,56.44,56.56,55.43,55.47,4165384,55.83
2016-04-21 04:00:00+00:00,55.45,55.57,54.32,54.49,5084076,54.97
2016-04-22 04:00:00+00:00,54.49,55.17,54.41,55.05,3233652,54.93
2016-04-25 04:00:00+00:00,54.91,55.55,54.89,55.52,2448756,55.26
2016-04-26 04:00:00+00:00,55.74,56.07,55.55,55.75,3232070,55.8
2016-04-27 04:00:00+00:00,55.74,55.83,55.11,55.72,3291002,55.53
2016-04-28 04:00:00+00:00,55.38,55.94,55.17,55.59,3025057,55.66
2016-04-29 04:00:00+00:00,55.34,55.46,54.56,55.09,4260102,54.95
2016-05-02 04:00:00+00:00,55.06,56.09,55.06,55.95,4168017,55.78
2016-05-03 04:00:00+00:00,55.93,56.08,55.61,56.04,3370669,55.88
2016-05-04 04:00:00+00:00,55.69,56.95,55.69,56.84,4235461,56.69
2016-05-05 04:00:00+00:00,56.91,57.11,56.64,57.0,3371102,56.93
2016-05-06 04:00:00+00:00,56.99,57.67,56.73,57.63,3591691,57.26
2016-05-09 04:00:00+00:00,57.81,58.35,57.65,58.26,4808218,58.13
2016-05-10 04:00:00+00:00,58.39,58.45,58.05,58.25,4111556,58.22
2016-05-11 04:00:00+00:00,58.22,58.22,56.78,57.01,4144306,57.19
2016-05-12 04:00:00+00:00,57.07,57.52,56.61,57.36,3487555,57.09
2016-05-13 04:00:00+00:00,57.18,57.18,56.43,56.82,4029585,56.76
2016-05-16 04:00:00+00:00,56.82,57.53,56.77,57.36,3401821,57.29
2016-05-17 04:00:00+00:00,57.22,57.22,55.99,56.3,4336068,56.53
2016-05-18 04:00:00+00:00,56.06,56.12,54.78,55.42,4764516,55.48
2016-05-19 04:00:00+00:00,55.07,55.2,54.51,54.8,4381001,54.75
2016-05-20 04:00:00+00:00,55.01,55.34,54.91,55.24,3418354,55.14
2016-05-23 04:00:00+00:00,55.34,55.45,55.11,55.24,2766262,55.28
2016-05-24 04:00:00+00:00,55.59,56.02,55.38,55.93,3061762,55.85
2016-05-25 04:00:00+00:00,56.08,56.08,55.38,55.93,3359381,55.76
2016-05-26 04:00:00+00:00,55.82,56.2,55.69,56.03,3195048,56.01
2016-05-27 04:00:00+00:00,56.13,56.58,56.08,56.35,3050040,56.31
2016-05-31 04:00:00+00:00,56.25,56.5,55.99,56.33,5192976,56.3
2016-06-01 04:00:00+00:00,56.14,56.52,56.08,56.38,4611460,56.29
2016-06-02 04:00:00+00:00,56.22,56.69,56.08,56.67,8314745,56.47
2016-06-03 04:00:00+00:00,57.21,57.39,56.62,56.9,4466875,56.87
