ts,open,high,low,close,volume,vwap
2016-01-04 05:00:00+00:00,17.47,17.53,17.28,17.48,34301378,17.42
2016-01-05 05:00:00+00:00,17.55,17.55,17.34,17.47,23383098,17.45
2016-01-06 05:00:00+00:00,17.23,17.25,16.91,17.01,19222848,17.05
2016-01-07 05:00:00+00:00,16.7,16.86,16.46,16.55,25603122,16.66
2016-01-08 05:00:00+00:00,16.71,16.72,16.34,16.38,17562838,16.56
2016-01-11 05:00:00+00:00,16.46,16.47,15.98,16.1,20335094,16.14
2016-01-12 05:00:00+00:00,16.34,16.34,15.93,16.13,14735488,16.1
2016-01-13 05:00:00+00:00,16.25,16.28,15.73,15.75,22093462,15.95
2016-01-14 05:00:00+00:00,15.82,16.08,15.62,15.97,20891330,15.89
2016-01-15 05:00:00+00:00,15.64,15.75,15.44,15.64,19116002,15.61
2016-01-19 05:00:00+00:00,15.78,15.84,15.25,15.45,19934434,15.51
2016-01-20 05:00:00+00:00,15.1,15.46,14.84,15.33,25721692,15.13
2016-01-21 05:00:00+00:00,15.41,15.58,15.2,15.47,23539490,15.42
2016-01-22 05:00:00+00:00,15.76,15.98,15.6,15.75,19440300,15.77
2016-01-25 05:00:00+00:00,15.6,15.63,15.22,15.25,22420786,15.41
2016-01-26 05:00:00+00:00,15.41,15.55,15.25,15.51,15340938,15.43
2016-01-27 05:00:00+00:00,15.48,15.74,15.34,15.38,15683560,15.51
2016-01-28 05:00:00+00:00,15.52,15.55,15.27,15.4,13406758,15.43
2016-01-29 05:00:00+00:00,15.53,15.87,15.42,15.85,17293400,15.69
2016-02-01 05:00:00+00:00,15.76,15.96,15.57,15.92,32244284,15.86
2016-02-02 05:00:00+00:00,15.86,15.89,15.63,15.81,25560556,15.78
2016-02-03 05:00:00+00:00,16.0,16.34,15.8,16.34,31626756,16.17
2016-02-04 05:00:00+00:00,16.41,16.91,16.4,16.8,31938236,16.74
2016-02-05 05:00:00+00:00,16.67,16.84,16.55,16.61,25035844,16.64
2016-02-08 05:00:00+00:00,16.36,16.49,15.93,16.17,25511796,16.2
2016-02-09 05:00:00+00:00,16.01,16.45,16.01,16.37,20631316,16.28
2016-02-10 05:00:00+00:00,16.44,16.61,16.17,16.21,27268386,16.32
2016-02-11 05:00:00+00:00,15.88,16.09,15.73,15.86,27531780,15.88
2016-02-12 05:00:00+00:00,16.09,16.33,15.91,16.33,17408010,16.22
2016-02-16 05:00:00+00:00,16.49,16.6,16.29,16.58,13920080,16.48
2016-02-17 05:00:00+00:00,16.72,17.0,16.71,16.91,15422846,16.91
