ts,open,high,low,close,volume,vwap
2016-01-04 05:00:00+00:00,18.86,18.96,18.66,18.96,55257274,18.87
2016-01-05 05:00:00+00:00,19.01,19.06,18.82,18.91,40146796,18.91
2016-01-06 05:00:00+00:00,18.63,18.8,18.56,18.67,28385488,18.67
2016-01-07 05:00:00+00:00,18.29,18.53,18.11,18.12,35403496,18.25
2016-01-08 05:00:00+00:00,18.28,18.34,17.96,17.98,41464450,18.13
2016-01-11 05:00:00+00:00,18.1,18.17,17.87,18.09,38961438,18.03
2016-01-12 05:00:00+00:00,18.29,18.35,18.08,18.31,32349394,18.24
2016-01-13 05:00:00+00:00,18.44,18.44,17.78,17.82,44658712,18.12
2016-01-14 05:00:00+00:00,17.89,18.29,17.68,18.15,40213318,18.03
2016-01-15 05:00:00+00:00,17.56,17.81,17.43,17.64,41188070,17.62
2016-01-19 05:00:00+00:00,17.83,17.88,17.5,17.66,39611810,17.7
2016-01-20 05:00:00+00:00,17.36,17.7,17.05,17.52,60399022,17.36
2016-01-21 05:00:00+00:00,17.62,17.87,17.4,17.62,45908086,17.66
2016-01-22 05:00:00+00:00,17.96,18.11,17.93,18.11,22985880,18.02
2016-01-25 05:00:00+00:00,18.01,18.17,17.87,17.9,21414404,18.02
2016-01-26 05:00:00+00:00,17.96,18.11,17.85,18.07,23178798,18.01
2016-01-27 05:00:00+00:00,17.92,18.03,17.62,17.7,36398284,17.83
2016-01-28 05:00:00+00:00,17.95,18.0,17.71,17.93,35548892,17.9
2016-01-29 05:00:00+00:00,18.04,18.51,18.04,18.49,33744542,18.36
2016-02-01 05:00:00+00:00,18.42,18.65,18.4,18.56,30760478,18.53
2016-02-02 05:00:00+00:00,18.5,18.51,18.17,18.23,28106824,18.32
2016-02-03 05:00:00+00:00,18.35,18.35,17.92,18.21,43187014,18.12
2016-02-04 05:00:00+00:00,18.17,18.34,18.03,18.22,40885308,18.19
2016-02-05 05:00:00+00:00,18.15,18.18,17.64,17.71,47916992,17.77
2016-02-08 05:00:00+00:00,17.41,17.51,17.15,17.46,50224730,17.33
2016-02-09 05:00:00+00:00,17.25,17.62,17.22,17.38,49731590,17.41
2016-02-10 05:00:00+00:00,17.52,17.73,17.39,17.4,34425736,17.56
2016-02-11 05:00:00+00:00,17.18,17.48,17.15,17.37,49836022,17.3
2016-02-12 05:00:00+00:00,17.52,17.62,17.41,17.61,22104412,17.54
2016-02-16 05:00:00+00:00,17.81,17.93,17.71,17.92,20891694,17.85
2016-02-17 05:00:00+00:00,18.03,18.33,18.0,18.29,22682818,18.21
2016-02-18 05:00:00+00:00,18.35,18.38,18.18,18.22,23409174,18.27
2016-02-19 05:00:00+00:00,18.15,18.29,18.11,18.23,17343152,18.21
2016-02-22 05:00:00+00:00,18.4,18.5,18.37,18.48,13548188,18.45
2016-02-23 05:00:00+00:00,18.4,18.42,18.15,18.18,16844798,18.26
2016-02-24 05:00:00+00:00,17.99,18.36,17.89,18.32,20516628,18.11
2016-02-25 05:00:00+00:00,18.39,18.56,18.24,18.55,19136900,18.4
2016-02-26 05:00:00+00:00,18.65,18.67,18.46,18.5,19795112,18.55
2016-02-29 05:00:00+00:00,18.48,18.66,18.37,18.37,28487204,18.51
2016-03-01 05:00:00+00:00,18.53,18.92,18.5,18.92,25990796,18.79
2016-03-02 05:00:00+00:00,18.85,18.97,18.82,18.97,17936240,18.89
2016-03-03 05:00:00+00:00,18.98,18.98,18.83,18.97,17084410,18.93
2016-03-04 05:00:00+00:00,18.98,19.11,18.9,19.02,16122194,19.0
2016-03-07 05:00:00+00:00,18.91,18.99,18.77,18.91,36920760,18.89
2016-03-08 05:00:00+00:00,18.79,18.94,18.72,18.79,24075052,18.83
2016-03-09 05:00:00+00:00,18.82,18.96,18.82,18.95,24533890,18.9
2016-03-10 05:00:00+00:00,18.98,19.12,18.7,18.94,26201692,18.9
2016-03-11 05:00:00+00:00,19.12,19.23,19.08,19.22,18066740,19.17
2016-03-14 04:00:00+00:00,19.17,19.28,19.16,19.25,20309596,19.24
2016-03-15 04:00:00+00:00,19.17,19.34,19.16,19.32,12884734,19.27
2016-03-16 04:00:00+00:00,19.23,19.57,19.22,19.54,29940172,19.44
2016-03-17 04:00:00+00:00,19.51,19.68,19.48,19.61,19082436,19.62
2016-03-18 04:00:00+00:00,19.59,19.61,19.46,19.55,21057084,19.54
2016-03-21 04:00:00+00:00,19.5,19.62,19.49,19.61,17191220,19.58
2016-03-22 04:00:00+00:00,19.52,19.7,19.52,19.62,27508824,19.64
2016-03-23 04:00:00+00:00,19.59,19.61,19.47,19.51,24613520,19.53
2016-03-24 04:00:00+00:00,19.42,19.56,19.39,19.56,14356354,19.5
2016-03-28 04:00:00+00:00,19.58,19.6,19.48,19.51,13118254,19.52
2016-03-29 04:00:00+00:00,19.48,19.83,19.45,19.82,20815786,19.71
