ts,open,high,low,close,volume,vwap
2016-01-04 05:00:00+00:00,38.15,38.16,37.78,38.16,20564046,38.01
2016-01-05 05:00:00+00:00,38.25,38.5,38.15,38.41,9068020,38.34
2016-01-06 05:00:00+00:00,38.02,38.43,38.0,38.28,14641974,38.26
2016-01-07 05:00:00+00:00,37.75,38.22,37.68,37.82,16234802,37.92
2016-01-08 05:00:00+00:00,38.06,38.06,37.45,37.53,15339197,37.78
2016-01-11 05:00:00+00:00,37.75,38.02,37.51,37.88,18102550,37.8
2016-01-12 05:00:00+00:00,38.11,38.24,37.78,38.08,14362487,38.0
2016-01-13 05:00:00+00:00,38.13,38.16,37.35,37.39,19613830,37.76
2016-01-14 05:00:00+00:00,37.49,37.82,37.32,37.56,19251935,37.57
2016-01-15 05:00:00+00:00,36.93,37.22,36.68,36.97,24453063,36.95
2016-01-19 05:00:00+00:00,37.35,37.56,37.18,37.42,15600623,37.38
2016-01-20 05:00:00+00:00,37.0,37.17,36.27,36.95,28540264,36.78
2016-01-21 05:00:00+00:00,36.98,37.26,36.75,37.1,21112299,37.04
2016-01-22 05:00:00+00:00,37.52,37.81,37.23,37.73,13910683,37.63
2016-01-25 05:00:00+00:00,37.12,37.72,37.06,37.39,16811275,37.54
2016-01-26 05:00:00+00:00,37.5,37.98,37.47,37.74,10656213,37.79
2016-01-27 05:00:00+00:00,37.79,38.18,37.47,37.7,18862961,37.84
2016-01-28 05:00:00+00:00,37.83,38.22,37.72,38.08,15774935,38.01
2016-01-29 05:00:00+00:00,38.34,38.91,38.17,38.86,20992961,38.66
2016-02-01 05:00:00+00:00,38.77,39.14,38.66,38.99,20181820,38.94
2016-02-02 05:00:00+00:00,38.68,38.7,38.39,38.49,15051713,38.52
2016-02-03 05:00:00+00:00,38.64,38.7,38.05,38.41,26333596,38.32
2016-02-04 05:00:00+00:00,38.24,38.28,37.87,38.05,24353374,38.06
2016-02-05 05:00:00+00:00,38.12,38.23,37.79,37.99,20349732,37.99
2016-02-08 05:00:00+00:00,37.74,38.0,37.42,37.89,23971209,37.72
2016-02-09 05:00:00+00:00,37.59,38.35,37.56,38.15,24457517,37.99
2016-02-10 05:00:00+00:00,38.28,38.5,38.05,38.1,14861503,38.32
2016-02-11 05:00:00+00:00,37.65,37.97,37.42,37.79,28139699,37.72
2016-02-12 05:00:00+00:00,38.02,38.34,37.85,38.33,12559383,38.16
2016-02-16 05:00:00+00:00,38.66,38.69,38.34,38.64,15276475,38.55
2016-02-17 05:00:00+00:00,38.8,39.15,38.69,39.03,11142939,38.96
2016-02-18 05:00:00+00:00,38.9,38.98,38.65,38.86,13182580,38.81
2016-02-19 05:00:00+00:00,38.75,38.99,38.54,38.92,9932612,38.84
2016-02-22 05:00:00+00:00,39.14,39.22,39.0,39.11,9222581,39.09
2016-02-23 05:00:00+00:00,39.03,39.17,38.94,39.1,10071856,39.08
2016-02-24 05:00:00+00:00,38.92,39.27,38.72,39.22,13827985,38.98
2016-02-25 05:00:00+00:00,39.32,39.69,39.23,39.67,10115455,39.49
2016-02-26 05:00:00+00:00,39.78,39.78,39.03,39.11,28257193,39.3
2016-02-29 05:00:00+00:00,39.09,39.39,38.97,38.98,15357734,39.14
2016-03-01 05:00:00+00:00,39.2,39.42,39.14,39.35,13315390,39.3
2016-03-02 05:00:00+00:00,39.4,39.47,39.16,39.47,16272760,39.3
2016-03-03 05:00:00+00:00,39.31,39.67,39.17,39.67,10805173,39.39
2016-03-04 05:00:00+00:00,39.65,39.94,39.5,39.84,19646878,39.77
2016-03-07 05:00:00+00:00,39.67,39.81,39.52,39.59,14652133,39.63
2016-03-08 05:00:00+00:00,39.48,39.92,39.42,39.71,11665692,39.73
2016-03-09 05:00:00+00:00,39.83,40.06,39.82,40.01,11502208,39.98
2016-03-10 05:00:00+00:00,40.18,40.24,39.68,40.02,13124734,39.96
2016-03-11 05:00:00+00:00,40.22,40.3,40.01,40.15,14771483,40.14
2016-03-14 04:00:00+00:00,40.13,40.22,40.01,40.13,12375443,40.12
2016-03-15 04:00:00+00:00,39.97,40.28,39.94,40.23,6544361,40.19
2016-03-16 04:00:00+00:00,40.2,40.41,39.92,40.32,14429521,40.23
2016-03-17 04:00:00+00:00,40.3,40.69,40.27,40.56,13978921,40.56
2016-03-18 04:00:00+00:00,40.43,40.46,40.24,40.3,13681576,40.35
2016-03-21 04:00:00+00:00,40.32,40.47,40.14,40.33,11534994,40.36
2016-03-22 04:00:00+00:00,40.2,40.3,40.03,40.09,9932269,40.12
2016-03-23 04:00:00+00:00,40.05,41.72,39.99,40.1,11430445,40.14
2016-03-24 04:00:00+00:00,39.96,40.09,39.92,40.05,9555718,40.01
2016-03-28 04:00:00+00:00,40.1,40.35,40.1,40.27,7529547,40.25
2016-03-29 04:00:00+00:00,40.24,40.58,40.19,40.56,11445808,40.45
2016-03-30 04:00:00+00:00,40.7,40.83,40.6,40.83,9208272,40.74
2016-03-31 04:00:00+00:00,40.76,40.83,40.57,40.62,8429111,40.7
2016-04-01 04:00:00+00:00,40.45,41.16,40.4,41.05,16934764,40.97
2016-04-04 04:00:00+00:00,41.1,41.14,40.85,41.06,14664407,40.99
2016-04-05 04:00:00+00:00,40.78,40.99,40.69,40.79,14141324,40.79
2016-04-06 04:00:00+00:00,40.68,41.12,40.68,41.11,13423046,41.01
2016-04-07 04:00:00+00:00,40.83,40.98,40.53,40.66,11829010,40.7
2016-04-08 04:00:00+00:00,40.84,40.93,40.76,40.89,7869923,40.84
2016-04-11 04:00:00+00:00,40.93,41.06,40.56,40.59,6780976,40.78
2016-04-12 04:00:00+00:00,40.6,40.89,40.6,40.85,9579216,40.79
2016-04-13 04:00:00+00:00,40.95,40.99,40.35,40.53,14990677,40.53
2016-04-14 04:00:00+00:00,40.51,40.61,40.32,40.35,13573387,40.44
2016-04-15 04:00:00+00:00,40.34,40.62,40.3,40.6,12952719,40.53
2016-04-18 04:00:00+00:00,40.53,40.83,40.5,40.83,9422318,40.71
2016-04-19 04:00:00+00:00,40.75,40.84,40.63,40.81,6117033,40.76
2016-04-20 04:00:00+00:00,40.74,40.74,40.25,40.35,22169655,40.38
2016-04-21 04:00:00+00:00,40.2,40.25,39.6,39.6,32944518,39.73
2016-04-22 04:00:00+00:00,39.5,39.78,39.45,39.78,23204761,39.63
2016-04-25 04:00:00+00:00,39.55,40.05,39.55,40.05,9150218,39.86
2016-04-26 04:00:00+00:00,40.15,40.17,39.82,39.89,10954896,39.95
2016-04-27 04:00:00+00:00,40.04,40.2,39.74,40.08,12199553,40.06
2016-04-28 04:00:00+00:00,39.93,40.36,39.92,40.12,13407151,40.15
2016-04-29 04:00:00+00:00,40.11,40.12,39.8,40.04,13651336,39.99
2016-05-02 04:00:00+00:00,40.15,40.53,40.02,40.5,15402221,40.4
2016-05-03 04:00:00+00:00,40.35,40.58,40.3,40.42,13081493,40.43
2016-05-04 04:00:00+00:00,40.3,40.62,40.19,40.54,13440218,40.49
2016-05-05 04:00:00+00:00,40.45,40.77,40.42,40.55,11606041,40.59
2016-05-06 04:00:00+00:00,40.49,40.76,40.36,40.76,9052635,40.59
2016-05-09 04:00:00+00:00,40.78,41.09,40.69,40.98,11989601,40.98
2016-05-10 04:00:00+00:00,41.11,41.38,41.06,41.38,9035877,41.28
2016-05-11 04:00:00+00:00,41.32,41.37,41.04,41.05,6785404,41.14
2016-05-12 04:00:00+00:00,41.06,41.36,41.06,41.28,12597334,41.27
2016-05-13 04:00:00+00:00,41.23,41.24,40.68,40.76,11030221,40.91
