Date,Open,High,Low,Close,Volume
2016-04-18,24.884792,24.884792,17.290323,17.640553,589047.0
2016-04-19,17.400923,17.612904,15.917051,16.129032,1458240.0
2016-04-20,15.723502,16.292166,15.668203,15.926267,1061456.0
2016-04-21,15.714286,16.221197,15.603687,16.147465,716751.0
2016-04-22,16.138248,16.267281,15.612903,15.62212,416315.0
2016-04-25,15.400922,15.483871,14.082949,14.119816,917476.0
2016-04-26,13.889401,14.009217,13.133641,13.271889,1633902.0
2016-04-27,12.921659,13.294009,12.451613,13.004608,756137.0
2016-04-28,12.75576,13.990783,12.75576,13.741935,634942.0
2016-04-29,13.308756,13.880184,13.308756,13.751152,368032.0
2016-05-02,13.935484,13.990783,13.493088,13.852535,235879.0
2016-05-03,13.732719,14.654378,13.668203,14.248848,1134042.0
2016-05-04,13.935484,14.396313,13.935484,14.193548,1132740.0
2016-05-05,14.221198,14.354839,13.843318,14.101382,2911489.0
2016-05-06,13.953917,14.294931,13.898618,14.285714,533386.0
2016-05-09,14.119816,14.746544,14.119816,14.617512,533278.0
2016-05-10,14.589862,15.133641,14.460829,14.930876,459606.0
2016-05-11,14.847926,15.115207,14.663594,15.050691,1643233.0
2016-05-12,15.050691,15.069124,14.774194,14.949309,318990.0
2016-05-13,14.857143,15.382488,14.75576,15.235023,439100.0
2016-05-16,15.004608,15.640553,14.940092,15.529954,264523.0
2016-05-17,15.576037,15.797235,15.410138,15.576037,590023.0
2016-05-18,15.511521,15.723502,14.866359,15.62212,1582798.0
2016-05-19,15.75,15.9,15.39,15.74,700600.0
2016-05-20,15.65,15.83,15.21,15.29,391600.0
2016-05-23,15.3,15.38,15.09,15.24,265600.0
2016-05-24,15.37,15.39,15.22,15.34,302100.0
2016-05-25,15.44,15.5,15.27,15.34,1047900.0
2016-05-26,15.33,15.4,15.08,15.13,534700.0
2016-05-27,15.1,15.17,14.99,15.05,610000.0
2016-05-31,15.1,15.24,14.88,15.0,748400.0
2016-06-01,15.01,15.21,14.89,15.11,594100.0
2016-06-02,15.12,15.21,14.94,15.14,566600.0
2016-06-03,15.07,15.11,14.85,14.93,465600.0
2016-06-06,14.91,15.07,14.81,14.84,527300.0
2016-06-07,14.82,14.86,14.58,14.81,380700.0
2016-06-08,14.78,14.99,14.75,14.9,307800.0
2016-06-09,14.84,14.98,14.77,14.88,484900.0
2016-06-10,14.76,15.0,14.475,14.93,1164300.0
2016-06-13,14.94,14.97,14.47,14.5,366600.0
2016-06-14,14.51,14.55,14.28,14.37,397800.0
2016-06-15,14.38,14.76,14.31,14.7,557700.0
2016-06-16,14.69,15.343,14.64,15.16,765100.0
2016-06-17,15.2,15.2,14.79,14.8,1113800.0
2016-06-20,14.87,15.145,14.87,15.0,410500.0
2016-06-21,15.04,15.21,14.91,15.15,670500.0
2016-06-22,15.15,15.73,15.15,15.58,728800.0
2016-06-23,15.63,15.91,15.45,15.59,398600.0
2016-06-24,15.17,15.73,15.1,15.13,3311400.0
2016-06-27,15.01,15.01,14.33,14.35,404700.0
2016-06-28,14.53,14.74,13.92,14.03,804700.0
2016-06-29,14.18,14.4,13.93,14.03,690500.0
2016-06-30,14.0,14.67,14.0,14.66,791900.0
2016-07-01,14.71,15.02,14.63,14.95,273100.0
2016-07-05,14.96,14.98,14.73,14.82,185600.0
2016-07-06,14.5,15.03,14.45,14.52,376600.0
2016-07-07,14.47,14.79,14.42,14.64,440900.0
2016-07-08,14.74,15.07,14.7,14.87,502900.0
2016-07-11,14.94,15.51,14.937,15.45,1024300.0
2016-07-12,15.43,15.725,15.42,15.48,298700.0
2016-07-13,15.52,15.56,15.28,15.33,248200.0
2016-07-14,15.42,15.52,15.24,15.46,219000.0
2016-07-15,15.57,15.57,15.32,15.47,229900.0
2016-07-18,15.49,15.56,15.314,15.47,141400.0
2016-07-19,15.48,15.62,15.37,15.5,188400.0
2016-07-20,15.51,15.62,15.42,15.58,263100.0
2016-07-21,15.54,15.67,15.46,15.62,154200.0
2016-07-22,15.58,15.87,15.51,15.71,576400.0
2016-07-25,15.64,15.95,15.5,15.71,937900.0
2016-07-26,15.76,16.0,15.76,15.84,209600.0
2016-07-27,15.89,16.15,15.83,15.99,415500.0
2016-07-28,16.049999,16.09,15.89,16.049999,158200.0
2016-07-29,16.030001,16.09,15.82,15.98,325700.0
2016-08-01,15.99,16.1,15.9,16.040001,224800.0
2016-08-02,16.059999,16.110001,15.7,15.78,126100.0
2016-08-03,15.91,15.99,15.77,15.79,77800.0
2016-08-04,15.74,15.84,15.511,15.66,254100.0
2016-08-05,15.73,15.86,15.56,15.61,103100.0
2016-08-08,15.67,15.83,15.52,15.58,87900.0
2016-08-09,15.58,15.7,15.21,15.51,226100.0
2016-08-10,15.57,15.96,15.44,15.92,258400.0
2016-08-11,15.93,16.18,15.92,16.030001,151400.0
2016-08-12,16.059999,16.17,15.95,16.040001,130000.0
2016-08-15,16.09,16.35,16.09,16.309999,75000.0
2016-08-16,16.23,16.538,16.09,16.43,215500.0
2016-08-17,16.41,16.559999,16.27,16.43,226200.0
2016-08-18,16.48,16.48,16.26,16.41,109200.0
2016-08-19,16.41,16.450001,16.200001,16.389999,77800.0
2016-08-22,16.799999,16.9,16.450001,16.610001,576900.0
2016-08-23,16.66,16.809999,16.6,16.639999,292500.0
2016-08-24,16.690001,16.74,16.49,16.65,141800.0
2016-08-25,16.540001,16.76,16.51,16.639999,127700.0
2016-08-26,16.66,16.82,16.459999,16.629999,110300.0
2016-08-29,16.73,16.745001,16.450001,16.57,234000.0
2016-08-30,16.6,16.799999,16.5,16.67,71600.0
2016-08-31,16.74,16.82,16.41,16.459999,705300.0
2016-09-01,16.48,16.73,16.24,16.719999,211300.0
2016-09-02,16.76,16.950001,16.68,16.940001,202700.0
2016-09-06,16.969999,17.41,16.799999,17.32,319900.0
2016-09-07,17.27,17.32,17.0,17.18,207600.0
2016-09-08,17.200001,17.309999,17.01,17.17,111200.0
2016-09-09,17.1,17.145,16.780001,16.799999,109200.0
2016-09-12,16.809999,17.08,16.74,17.040001,78100.0
2016-09-13,16.950001,17.09,16.559999,16.870001,121100.0
2016-09-14,16.950001,17.030001,16.799999,16.84,40400.0
2016-09-15,16.84,17.26,16.690001,17.25,109000.0
2016-09-16,17.309999,17.440001,16.85,17.059999,738600.0
2016-09-19,17.129999,17.25,16.74,17.07,86600.0
2016-09-20,17.07,17.290001,16.879999,17.1,106100.0
2016-09-21,17.07,17.4,17.0,17.35,92400.0
2016-09-22,17.4,17.445,17.24,17.4,80700.0
2016-09-23,17.35,17.360001,17.219999,17.23,67500.0
2016-09-26,17.129999,17.152,16.9,16.93,87300.0
2016-09-27,16.93,17.24,16.93,17.209999,69900.0
2016-09-28,17.16,17.35,17.16,17.190001,89400.0
2016-09-29,17.120001,17.24,16.860001,16.870001,84700.0
2016-09-30,16.969999,17.469999,16.77,17.379999,501000.0
2016-10-03,17.450001,17.5,17.190001,17.43,759400.0
2016-10-04,17.42,17.549999,17.299999,17.34,155300.0
2016-10-05,17.35,17.49,17.290001,17.41,187500.0
2016-10-06,17.32,17.42,17.110001,17.370001,28200.0
2016-10-07,17.35,17.540001,17.209999,17.5,46000.0
2016-10-10,17.6,17.657,17.459999,17.540001,55600.0
2016-10-11,17.389999,17.549999,17.190001,17.23,105700.0
2016-10-12,17.299999,17.33,16.870001,16.889999,84700.0
2016-10-13,16.85,16.865,16.66,16.76,458900.0
2016-10-14,16.780001,16.92,16.57,16.690001,167700.0
2016-10-17,16.65,16.799999,16.5,16.73,52100.0
2016-10-18,16.74,16.9,16.700001,16.74,31900.0
2016-10-19,16.74,17.08,16.575001,16.950001,65800.0
2016-10-20,16.940001,17.035999,16.870001,17.0,48200.0
2016-10-21,16.92,17.24,16.785,17.219999,42100.0
2016-10-24,17.25,17.4,17.110001,17.280001,65800.0
2016-10-25,17.299999,17.299999,16.950001,16.99,105800.0
2016-10-26,16.9,17.190001,16.879999,16.93,137700.0
2016-10-27,17.0,17.0,16.540001,16.690001,53400.0
2016-10-28,16.66,16.83,16.6,16.629999,25400.0
2016-10-31,16.620001,16.799999,16.51,16.67,61900.0
2016-11-01,16.639999,16.709999,16.34,16.379999,108300.0
2016-11-02,16.42,16.51,16.18,16.190001,113400.0
2016-11-03,16.24,16.540001,16.24,16.41,51200.0
2016-11-04,16.459999,16.700001,16.280001,16.299999,82700.0
2016-11-07,16.59,16.75,16.49,16.700001,100700.0
2016-11-08,16.75,17.09,16.514999,16.99,128000.0
2016-11-09,16.889999,16.889999,16.620001,16.860001,134000.0
2016-11-10,16.98,18.92,16.969999,18.889999,299200.0
2016-11-11,18.82,20.85,18.82,19.98,323200.0
2016-11-14,20.18,20.18,18.51,18.93,261600.0
2016-11-15,18.91,19.559999,18.299999,18.85,145700.0
2016-11-16,18.85,19.49,18.43,19.18,183400.0
2016-11-17,19.440001,19.59,18.959999,18.99,148300.0
2016-11-18,19.08,19.16,18.83,18.870001,138200.0
2016-11-21,18.83,19.43,18.67,19.4,177400.0
2016-11-22,19.42,19.870001,19.030001,19.75,140900.0
2016-11-23,19.76,20.610001,19.48,20.59,125300.0
2016-11-25,20.540001,20.540001,20.1,20.370001,28000.0
2016-11-28,20.26,20.26,19.809999,19.91,56800.0
2016-11-29,19.99,20.0,19.799999,19.9,63600.0
2016-11-30,19.959999,20.02,19.66,19.870001,92900.0
2016-12-01,19.93,20.0,19.450001,19.6,109800.0
2016-12-02,19.5,19.84,19.440001,19.5,79300.0
2016-12-05,19.65,19.809999,19.379999,19.780001,94100.0
2016-12-06,19.860001,19.860001,19.469999,19.799999,65100.0
2016-12-07,19.76,20.09,19.555,19.959999,85700.0
2016-12-08,20.040001,20.58,20.040001,20.370001,70400.0
2016-12-09,20.459999,20.610001,18.57,20.57,84300.0
2016-12-12,20.51,20.540001,20.059999,20.129999,76500.0
2016-12-13,20.24,20.35,20.129999,20.26,95000.0
2016-12-14,20.280001,20.57,19.93,20.459999,55400.0
2016-12-15,20.559999,20.559999,19.799999,19.91,160100.0
2016-12-16,19.99,20.18,19.75,20.0,339400.0
2016-12-19,20.08,20.790001,19.889999,20.74,154600.0
2016-12-20,20.74,20.870001,20.5,20.76,110900.0
2016-12-21,20.67,20.67,20.4,20.58,72500.0
2016-12-22,20.459999,20.74,20.450001,20.549999,114900.0
2016-12-23,20.620001,21.08,20.32,21.01,68600.0
2016-12-27,21.1,21.1,20.52,20.629999,67800.0
2016-12-28,20.6,20.860001,20.51,20.639999,62500.0
2016-12-29,20.73,21.239,20.639999,20.73,56100.0
2016-12-30,20.67,20.85,20.445,20.59,206900.0
2017-01-03,20.709999,20.799999,20.33,20.639999,93800.0
2017-01-04,20.77,20.959999,20.6,20.9,79400.0
