label,n,cagr,vol,mdd,sharpe,cagr_mdd,navx
invvol core6 lb=63 [raw],3835,28.36,33.27,-60.74,0.92,0.47,44.7
invvol core6 lb=63 + DD,3835,22.44,26.58,-35.92,0.9,0.62,21.8
invvol core6 lb=63 + DD-tight,3835,17.59,22.37,-29.76,0.84,0.59,11.8
invvol core6 lb=63 + DD-soft,3835,24.84,28.49,-45.28,0.92,0.55,29.3
invvol clean4 lb=21 [raw],3835,23.26,25.55,-52.52,0.95,0.44,24.1
invvol clean4 lb=21 + DD,3835,19.75,22.07,-32.68,0.93,0.6,15.5
invvol clean4 lb=21 + DD-tight,3835,15.75,18.93,-26.6,0.87,0.59,9.3
invvol clean4 lb=21 + DD-soft,3835,21.16,23.04,-39.55,0.95,0.54,18.6
TSMOM K=3m tv=15% [raw],3835,20.22,23.16,-44.18,0.91,0.46,16.5
TSMOM K=3m tv=15% + DD,3835,17.9,19.18,-33.72,0.96,0.53,12.3
TSMOM K=3m tv=15% + DD-tight,3835,15.35,16.48,-26.48,0.95,0.58,8.8
TSMOM K=3m tv=15% + DD-soft,3835,18.81,20.28,-36.79,0.95,0.51,13.8
TSMOM K=3m tv=20% [raw],3835,25.97,30.83,-54.85,0.9,0.47,33.6
TSMOM K=3m tv=20% + DD,3835,21.92,23.97,-39.25,0.95,0.56,20.4
TSMOM K=3m tv=20% + DD-tight,3835,18.13,20.3,-29.92,0.92,0.61,12.6
TSMOM K=3m tv=20% + DD-soft,3835,23.62,25.88,-44.29,0.95,0.53,25.2
invvol core6 + VM [raw],3835,25.29,30.64,-48.94,0.89,0.52,30.9
invvol core6 + VM + DD,3835,19.2,25.67,-35.32,0.81,0.54,14.5
invvol core6 + VM + DD-tight,3835,15.08,21.74,-28.36,0.76,0.53,8.5
invvol core6 + VM + DD-soft,3835,21.58,27.15,-37.65,0.86,0.57,19.6
