label,n,cagr,vol,mdd,sharpe,cagr_mdd,navx,family,cohort
LETF+BTC 2015+ :: invvol-s core6+BTC lb=63 tv=40%,2829,64.72,76.02,-83.89,1.04,0.77,271.2,invvol-scaled,LETF+BTC 2015+
LETF+BTC 2015+ :: invvol-s core6+BTC lb=126 tv=40%,2829,62.46,74.51,-85.86,1.03,0.73,232.3,invvol-scaled,LETF+BTC 2015+
LETF+BTC 2015+ :: invvol-s core6+BTC lb=63 tv=25%,2829,46.49,47.51,-65.55,1.04,0.71,72.7,invvol-scaled,LETF+BTC 2015+
LETF+BTC 2015+ :: invvol-s core6+BTC lb=126 tv=25%,2829,44.9,46.57,-68.19,1.03,0.66,64.3,invvol-scaled,LETF+BTC 2015+
LETF-only 2015+ :: invvol-s core6 lb=126 tv=40%,2829,43.25,74.33,-84.4,0.86,0.51,56.6,invvol-scaled,LETF-only 2015+
LETF+BTC 2015+ :: invvol-s core6 lb=126 tv=40%,2829,43.25,74.33,-84.4,0.86,0.51,56.6,invvol-scaled,LETF+BTC 2015+
LETF+BTC 2015+ :: invvol-s core6 lb=63 tv=40%,2829,42.51,75.81,-81.77,0.85,0.52,53.3,invvol-scaled,LETF+BTC 2015+
LETF-only 2015+ :: invvol-s core6 lb=63 tv=40%,2829,42.51,75.81,-81.77,0.85,0.52,53.3,invvol-scaled,LETF-only 2015+
LETF+BTCETH 2018+ :: invvol-s core6+BTC+ETH lb=63 tv=40%,2074,41.89,80.69,-85.13,0.85,0.49,17.8,invvol-scaled,LETF+BTCETH 2018+
LETF+BTC 2015+ :: EW5 + 20% BTC,2829,41.07,38.83,-67.26,1.08,0.61,47.6,fixed-crypto,LETF+BTC 2015+
LETF+BTCETH 2018+ :: invvol-s core6+BTC+ETH lb=126 tv=40%,2074,41.05,79.12,-86.57,0.84,0.47,17.0,invvol-scaled,LETF+BTCETH 2018+
LETF+BTCETH 2018+ :: invvol-s core6+BTC lb=63 tv=40%,2074,40.44,77.65,-82.77,0.83,0.49,16.4,invvol-scaled,LETF+BTCETH 2018+
LETF+BTC 2015+ :: TQQQ 60 / TMF 20 / BTC 20,2829,38.77,43.94,-75.41,0.97,0.51,39.6,fixed-crypto,LETF+BTC 2015+
LETF+BTCETH 2018+ :: invvol-s core6+BTC lb=126 tv=40%,2074,38.13,76.26,-85.05,0.81,0.45,14.3,invvol-scaled,LETF+BTCETH 2018+
LETF+BTC 2015+ :: EW5 + 10% BTC,2829,35.77,39.69,-67.72,0.97,0.53,31.0,fixed-crypto,LETF+BTC 2015+
LETF+BTCETH 2018+ :: invvol-s core6+BTC+ETH lb=63 tv=25%,2074,34.78,50.43,-66.75,0.85,0.52,11.7,invvol-scaled,LETF+BTCETH 2018+
LETF+BTC 2015+ :: mom core6+BTC lb=63 top2,2829,34.47,54.03,-68.97,0.82,0.5,27.8,mom,LETF+BTC 2015+
LETF+BTCETH 2018+ :: invvol-s core6+BTC+ETH lb=126 tv=25%,2074,34.03,49.45,-68.84,0.84,0.49,11.1,invvol-scaled,LETF+BTCETH 2018+
LETF+BTC 2015+ :: invvol core6+BTC lb=126,2829,33.87,33.53,-61.35,1.04,0.55,26.4,invvol,LETF+BTC 2015+
