label,n,cagr,vol,mdd,sharpe,cagr_mdd,navx,universe,lookback,top_n,rebal,gate
mom[raw ] core6 lb=126 top4 @ 10d,3835,35.07,47.04,-68.79,0.88,0.51,97.1,core6,126,4,10,False
mom[raw ] core6 lb=126 top3 @ 21d,3835,34.75,48.15,-71.12,0.86,0.49,93.6,core6,126,3,21,False
mom[raw ] core6 lb=63 top5 @ 5d,3835,34.41,42.51,-69.82,0.91,0.49,90.1,core6,63,5,5,False
mom[raw ] core6 lb=63 top2 @ 5d,3835,34.33,47.73,-75.4,0.86,0.46,89.2,core6,63,2,5,False
mom[raw ] core6 lb=126 top3 @ 10d,3835,34.13,48.06,-67.41,0.85,0.51,87.2,core6,126,3,10,False
mom[raw ] core6 lb=63 top4 @ 5d,3835,34.08,44.09,-75.03,0.89,0.45,86.7,core6,63,4,5,False
mom[raw ] core6 lb=126 top5 @ 10d,3835,33.96,43.4,-69.58,0.89,0.49,85.6,core6,126,5,10,False
mom[raw ] core6 lb=126 top3 @ 5d,3835,33.81,47.19,-70.05,0.86,0.48,84.1,core6,126,3,5,False
mom[raw ] core6 lb=126 top4 @ 5d,3835,33.73,46.49,-71.1,0.86,0.47,83.3,core6,126,4,5,False
mom[raw ] core6 lb=252 top5 @ 10d,3835,33.51,42.62,-68.71,0.89,0.49,81.3,core6,252,5,10,False
mom[gate] core6 lb=126 top3 @ 21d,3835,33.4,46.83,-61.95,0.85,0.54,80.3,core6,126,3,21,True
mom[raw ] core6 lb=126 top5 @ 5d,3835,33.29,43.2,-69.54,0.88,0.48,79.3,core6,126,5,5,False
mom[gate] core6 lb=63 top2 @ 5d,3835,33.02,47.57,-69.48,0.84,0.48,76.8,core6,63,2,5,True
mom[raw ] core6 lb=63 top5 @ 10d,3835,32.98,42.51,-69.42,0.88,0.48,76.5,core6,63,5,10,False
mom[raw ] core6 lb=126 top4 @ 21d,3835,32.86,47.52,-72.64,0.84,0.45,75.5,core6,126,4,21,False
mom[raw ] core6 lb=63 top5 @ 3d,3835,32.7,42.53,-71.58,0.88,0.46,74.1,core6,63,5,3,False
