lb,tn,cap,rb,ov,dd_f,nw,IS_SR,IS_Ret,IS_MDD,OOS_SR,OOS_Ret,OOS_MDD,FULL_SR,FULL_Ret,FULL_MDD,NAVx,SR_gap,min_sr,calmar
120,2,1.0,1,3.5,0.3,20,0.621,28.76,-50.2,0.069,3.46,-87.4,0.311,15.05,-87.4,1.3,0.552,0.069,0.17219679633867277
120,2,1.0,1,3.5,0.35,20,0.687,35.59,-55.5,0.25,15.79,-89.1,0.427,24.86,-89.1,2.4,0.43700000000000006,0.25,0.27901234567901234
120,2,1.0,1,3.5,0.4,20,0.705,39.71,-60.7,0.319,21.35,-89.0,0.477,29.76,-89.0,3.1,0.38599999999999995,0.319,0.3343820224719101
120,2,1.0,1,4.0,0.3,20,0.441,20.21,-50.6,-0.097,-3.93,-74.7,0.166,7.13,-78.8,0.8,0.538,-0.097,0.09048223350253808
120,2,1.0,1,4.0,0.35,20,0.644,34.98,-57.1,0.144,8.84,-92.6,0.357,20.81,-92.6,1.3,0.5,0.144,0.22473002159827213
120,2,1.0,1,4.0,0.4,20,0.696,41.46,-61.7,0.277,20.17,-93.2,0.446,29.92,-93.2,2.1,0.41899999999999993,0.277,0.32103004291845494
120,2,1.0,1,4.5,0.3,20,0.349,14.05,-50.0,-0.41,-14.31,-82.6,-0.035,-1.32,-86.5,0.4,0.7589999999999999,-0.41,-0.015260115606936417
120,2,1.0,1,4.5,0.35,20,0.56,30.78,-57.8,0.189,9.82,-83.0,0.364,19.42,-83.0,1.7,0.37100000000000005,0.189,0.23397590361445786
120,2,1.0,1,4.5,0.4,20,0.661,41.33,-63.7,0.199,14.5,-96.0,0.392,26.79,-96.0,1.1,0.462,0.199,0.2790625
120,2,1.0,1,5.0,0.3,20,0.197,9.81,-72.8,-0.005,-0.21,-82.5,0.096,4.38,-85.1,0.4,0.202,-0.005,0.05146886016451234
120,2,1.0,1,5.0,0.35,20,0.338,17.87,-57.2,-0.325,-13.02,-86.1,0.024,1.13,-89.0,0.3,0.663,-0.325,0.012696629213483145
120,2,1.0,1,5.0,0.4,20,0.591,37.6,-64.6,0.096,6.67,-97.4,0.312,20.84,-97.4,0.5,0.495,0.096,0.2139630390143737
120,2,1.0,2,3.5,0.3,20,0.581,30.23,-59.7,0.315,18.32,-87.7,0.429,23.78,-87.7,2.4,0.26599999999999996,0.315,0.27115165336374003
120,2,1.0,2,3.5,0.35,20,0.674,38.35,-60.9,0.398,25.79,-88.0,0.515,31.54,-88.0,4.0,0.276,0.398,0.3584090909090909
120,2,1.0,2,3.5,0.4,20,0.705,42.29,-63.7,-0.121,-6.23,-91.0,0.288,15.99,-91.2,0.9,0.826,-0.121,0.17532894736842106
120,2,1.0,2,4.0,0.3,20,0.492,26.45,-66.0,0.446,21.32,-67.5,0.467,23.67,-67.5,3.2,0.045999999999999985,0.446,0.3506666666666667
120,2,1.0,2,4.0,0.35,20,0.625,37.99,-66.2,0.386,27.31,-91.3,0.485,32.2,-91.3,2.8,0.239,0.386,0.3526834611171961
120,2,1.0,2,4.0,0.4,20,0.696,45.63,-67.5,0.419,31.22,-92.3,0.536,37.82,-92.3,3.7,0.27699999999999997,0.419,0.409750812567714
120,2,1.0,2,4.5,0.3,20,0.318,14.71,-61.4,0.04,1.58,-79.1,0.178,7.59,-79.1,0.8,0.278,0.04,0.09595448798988622
120,2,1.0,2,4.5,0.35,20,0.554,34.85,-71.6,0.547,32.43,-77.0,0.55,33.54,-77.0,5.0,0.007000000000000006,0.547,0.4355844155844156
120,2,1.0,2,4.5,0.4,20,0.661,45.97,-72.2,0.411,33.01,-94.8,0.515,38.94,-94.8,2.5,0.25000000000000006,0.411,0.41075949367088604
120,2,1.0,2,5.0,0.3,20,0.353,15.17,-53.1,-0.06,-2.37,-83.2,0.138,5.66,-83.2,0.7,0.413,-0.06,0.06802884615384615
120,2,1.0,2,5.0,0.35,20,0.083,4.84,-75.8,0.277,15.02,-80.6,0.185,10.36,-80.6,0.4,0.194,0.083,0.12853598014888337
120,2,1.0,2,5.0,0.4,20,0.593,42.68,-77.1,0.559,39.84,-84.6,0.575,41.14,-84.6,5.4,0.03399999999999992,0.559,0.48628841607565015
120,2,1.0,3,3.5,0.3,20,0.414,16.14,-42.8,0.577,29.96,-54.5,0.509,23.63,-54.5,4.3,0.16299999999999998,0.414,0.4335779816513761
120,2,1.0,3,3.5,0.35,20,0.529,24.64,-46.6,0.454,28.68,-82.4,0.478,26.83,-82.4,3.5,0.07500000000000001,0.454,0.32560679611650484
120,2,1.0,3,3.5,0.4,20,0.605,31.78,-54.3,0.479,31.92,-86.1,0.525,31.85,-86.1,4.6,0.126,0.479,0.3699186991869919
120,2,1.0,3,4.0,0.3,20,0.073,2.42,-45.7,0.652,35.03,-51.2,0.443,20.09,-57.6,2.9,0.5790000000000001,0.073,0.34878472222222223
120,2,1.0,3,4.0,0.35,20,0.468,21.76,-47.3,0.385,24.78,-86.9,0.411,23.4,-86.9,1.9,0.08300000000000002,0.385,0.26927502876869963
120,2,1.0,3,4.0,0.4,20,0.535,28.69,-53.1,0.469,34.19,-88.5,0.489,31.67,-88.5,3.2,0.06600000000000006,0.469,0.35785310734463277
120,2,1.0,3,4.5,0.3,20,0.214,9.89,-60.1,0.099,4.06,-83.4,0.155,6.73,-83.4,0.6,0.11499999999999999,0.099,0.08069544364508394
120,2,1.0,3,4.5,0.35,20,0.273,11.23,-50.7,0.727,46.27,-58.0,0.554,30.22,-59.7,5.4,0.45399999999999996,0.273,0.5061976549413735
120,2,1.0,3,4.5,0.4,20,0.493,26.47,-52.4,0.416,31.35,-92.2,0.439,29.11,-92.2,1.6,0.07700000000000001,0.416,0.31572668112798263
120,2,1.0,3,5.0,0.3,20,0.227,11.47,-66.8,0.19,8.72,-83.3,0.208,9.98,-83.3,0.6,0.037000000000000005,0.19,0.11980792316926772
120,2,1.0,3,5.0,0.35,20,-0.591,-20.09,-78.5,0.215,11.66,-59.3,-0.063,-2.88,-86.4,0.2,0.8059999999999999,-0.591,-0.03333333333333333
120,2,1.0,3,5.0,0.4,20,0.366,18.29,-54.9,0.611,43.57,-70.4,0.512,31.99,-70.4,3.7,0.245,0.366,0.45440340909090904
120,2,1.0,4,3.5,0.3,20,0.72,31.16,-42.2,0.591,34.62,-53.3,0.633,33.03,-53.3,10.2,0.129,0.591,0.6196998123827393
120,2,1.0,4,3.5,0.35,20,0.793,39.7,-46.9,0.542,33.49,-67.8,0.641,36.33,-67.8,11.1,0.251,0.542,0.5358407079646018
