date,pick_1,pick_2,pick_3,n_positive
2014-10-01,TMF,UBT,TYD,3
2014-10-08,TMF,UBT,DRN,5
2014-10-15,TMF,DRN,TYD,7
2014-10-22,DRN,BTC_USD,UGL,6
2014-10-29,SOXL,TQQQ,ERX,12
2014-11-05,SOXL,FAS,TECL,11
2014-11-12,BTC_USD,FAS,TECL,11
2014-11-19,NUGT,BTC_USD,UGL,11
2014-11-26,NUGT,SOXL,YINN,14
2014-12-04,SOXL,YINN,DRN,13
2014-12-11,TYD,TMF,UBT,6
2014-12-18,TMF,UBT,DRN,5
2014-12-26,ERX,YINN,TECL,12
2015-01-05,TMF,YINN,NUGT,7
2015-01-12,NUGT,TMF,DRN,7
2015-01-20,NUGT,DRN,UGL,12
2015-01-27,NUGT,ERX,EDC,9
2015-02-03,UCO,ERX,BTC_USD,13
2015-02-10,UCO,TECL,TQQQ,9
2015-02-18,SOXL,TECL,TQQQ,11
2015-02-25,TQQQ,SOXL,TECL,14
2015-03-04,BTC_USD,SOXL,TQQQ,7
2015-03-11,BTC_USD,,,1
2015-03-18,TMF,UBT,YINN,8
2015-03-25,NUGT,DRN,YINN,14
2015-04-01,YINN,UCO,UGL,9
2015-04-09,YINN,EDC,ERX,11
2015-04-16,YINN,UCO,EDC,12
2015-04-23,UCO,NUGT,ERX,12
2015-04-30,UCO,NUGT,TECL,5
2015-05-07,UCO,BTC_USD,,2
2015-05-14,NUGT,SOXL,FAS,12
2015-05-21,SOXL,TQQQ,TECL,14
2015-05-29,SOXL,TMF,UBT,7
2015-06-05,SOXL,,,1
2015-06-12,FAS,YINN,LABU,3
2015-06-19,LABU,BTC_USD,DRN,13
2015-06-26,LABU,BTC_USD,TQQQ,6
2015-07-06,BTC_USD,,,1
2015-07-13,BTC_USD,LABU,DRN,8
2015-07-20,LABU,TQQQ,TECL,9
2015-07-27,TMF,UBT,TYD,7
2015-08-03,TMF,UBT,TYD,5
2015-08-10,NUGT,YINN,SOXL,16
2015-08-17,NUGT,ERX,UGL,11
2015-08-24,UGL,TMF,UBT,4
2015-08-31,UCO,UGL,,2
2015-09-08,UCO,SOXL,LABU,13
2015-09-15,LABU,SOXL,TQQQ,10
2015-09-22,DRN,TYD,TMF,6
2015-09-29,TMF,UBT,TYD,7
2015-10-06,NUGT,ERX,SOXL,18
2015-10-13,NUGT,ERX,YINN,16
2015-10-20,YINN,SOXL,DRN,16
2015-10-27,LABU,SOXL,TQQQ,15
2015-11-03,BTC_USD,LABU,TQQQ,12
2015-11-10,LABU,ERX,BTC_USD,10
2015-11-17,,,,0
2015-11-24,EDC,TMF,NUGT,13
2015-12-02,NUGT,LABU,SOXL,14
2015-12-09,BTC_USD,NUGT,TMF,6
2015-12-16,BTC_USD,DRN,NUGT,4
2015-12-23,LABU,YINN,EDC,9
2015-12-31,LABU,DRN,,2
2016-01-08,NUGT,UGL,TMF,6
2016-01-15,TMF,UBT,TYD,4
2016-01-25,TMF,UBT,TYD,4
2016-02-01,NUGT,SOXL,EDC,18
2016-02-08,NUGT,UGL,TMF,8
2016-02-16,NUGT,UGL,BTC_USD,6
2016-02-23,NUGT,SOXL,LABU,16
2016-03-01,SOXL,DRN,NUGT,16
2016-03-08,UCO,EDC,ERX,15
2016-03-15,ERX,YINN,NUGT,13
2016-03-22,ERX,SOXL,EDC,15
2016-03-30,EDC,SOXL,TECL,16
2016-04-06,LABU,TMF,TQQQ,12
2016-04-13,LABU,NUGT,UCO,18
2016-04-20,NUGT,ERX,UCO,11
2016-04-27,ERX,UCO,NUGT,8
2016-05-04,DRN,UGL,NUGT,7
2016-05-11,NUGT,TMF,DRN,8
2016-05-18,UCO,LABU,SOXL,9
2016-05-25,LABU,SOXL,UCO,11
2016-06-02,LABU,SOXL,YINN,17
2016-06-09,NUGT,BTC_USD,YINN,17
2016-06-16,BTC_USD,NUGT,TMF,7
2016-06-23,BTC_USD,EDC,DRN,6
2016-06-30,NUGT,DRN,YINN,13
2016-07-08,NUGT,TMF,UBT,12
2016-07-15,NUGT,LABU,SOXL,14
2016-07-22,SOXL,YINN,EDC,12
2016-07-29,LABU,SOXL,TECL,15
2016-08-05,LABU,NUGT,SOXL,13
2016-08-12,YINN,UCO,EDC,13
2016-08-19,UCO,YINN,ERX,13
2016-08-26,SOXL,UCO,ERX,4
2016-09-02,FAS,SOXL,DRN,6
2016-09-12,YINN,LABU,BTC_USD,7
2016-09-19,LABU,BTC_USD,,2
2016-09-26,LABU,DRN,SOXL,11
2016-10-03,UCO,ERX,SOXL,15
2016-10-10,UCO,ERX,SOXL,12
2016-10-17,UCO,BTC_USD,,2
2016-10-24,NUGT,BTC_USD,DRN,9
2016-10-31,NUGT,BTC_USD,SOXL,9
2016-11-07,BTC_USD,UGL,,2
2016-11-14,LABU,FAS,UPRO,7
2016-11-21,LABU,FAS,SOXL,11
2016-11-29,SOXL,YINN,TECL,15
2016-12-06,ERX,DRN,YINN,9
2016-12-13,UCO,ERX,FAS,12
2016-12-20,SOXL,TECL,TQQQ,11
2016-12-28,BTC_USD,SOXL,TMF,5
2017-01-05,NUGT,BTC_USD,YINN,14
2017-01-12,NUGT,LABU,YINN,15
2017-01-20,SOXL,TQQQ,TECL,10
2017-01-27,SOXL,BTC_USD,TQQQ,11
2017-02-03,NUGT,BTC_USD,LABU,15
2017-02-10,NUGT,LABU,YINN,18
2017-02-17,LABU,YINN,TQQQ,17
2017-02-27,BTC_USD,LABU,FAS,16
2017-03-06,BTC_USD,LABU,TECL,10
2017-03-13,SOXL,LABU,BTC_USD,9
2017-03-20,NUGT,YINN,EDC,12
2017-03-27,NUGT,TMF,EDC,9
2017-04-03,BTC_USD,TMF,UCO,10
2017-04-10,UCO,BTC_USD,ERX,12
2017-04-18,NUGT,DRN,UCO,8
2017-04-25,LABU,SOXL,EDC,16
2017-05-02,BTC_USD,TQQQ,LABU,11
2017-05-09,BTC_USD,TQQQ,TECL,7
2017-05-16,SOXL,BTC_USD,NUGT,12
2017-05-23,BTC_USD,UCO,SOXL,18
2017-05-31,BTC_USD,TMF,UGL,13
2017-06-07,BTC_USD,SOXL,NUGT,17
2017-06-14,LABU,FAS,BTC_USD,11
2017-06-21,LABU,TMF,FAS,8
2017-06-28,LABU,BTC_USD,NUGT,14
2017-07-06,UCO,FAS,YINN,4
2017-07-13,YINN,EDC,SOXL,11
2017-07-20,SOXL,YINN,EDC,19
2017-07-27,NUGT,BTC_USD,UCO,17
2017-08-03,UCO,YINN,UGL,9
2017-08-10,BTC_USD,TMF,UBT,6
2017-08-17,BTC_USD,UGL,NUGT,6
2017-08-24,BTC_USD,LABU,EDC,16
2017-08-31,LABU,NUGT,YINN,19
2017-09-08,NUGT,LABU,UGL,17
2017-09-15,ERX,UCO,SOXL,10
2017-09-22,ERX,SOXL,FAS,12
2017-09-29,BTC_USD,ERX,LABU,9
2017-10-06,BTC_USD,LABU,SOXL,14
2017-10-13,BTC_USD,YINN,EDC,17
2017-10-20,BTC_USD,SOXL,UCO,15
2017-10-27,SOXL,TECL,UCO,10
2017-11-03,BTC_USD,SOXL,UCO,15
2017-11-10,BTC_USD,UCO,ERX,16
2017-11-17,BTC_USD,DRN,NUGT,12
2017-11-27,ETH_USD,BTC_USD,NUGT,16
2017-12-04,BTC_USD,ETH_USD,FAS,9
2017-12-11,BTC_USD,FAS,ERX,9
2017-12-18,ETH_USD,BTC_USD,TECL,16
2017-12-26,ETH_USD,NUGT,ERX,15
