signal,N,consensus,top_half,is_sr,oos_sr,full_sr,is_cagr,oos_cagr,full_cagr,full_mdd,full_vol,tov_ann,gap
sharpe,63,2,False,0.757,0.516,0.623,0.201,0.134,0.17,-0.579,0.355,3.36,0.24
raw,63,2,False,0.757,0.516,0.623,0.201,0.134,0.17,-0.579,0.355,3.36,0.24
sharpe,63,2,True,0.678,0.389,0.511,0.191,0.067,0.133,-0.718,0.43,5.03,0.289
raw,42,3,False,0.659,0.439,0.53,0.162,0.098,0.132,-0.693,0.359,6.46,0.221
sharpe,42,3,False,0.659,0.439,0.53,0.162,0.098,0.132,-0.693,0.359,6.46,0.221
sharpe,63,3,False,0.651,0.364,0.493,0.173,0.062,0.121,-0.677,0.389,4.7,0.287
raw,63,3,False,0.651,0.364,0.493,0.173,0.062,0.121,-0.677,0.389,4.7,0.287
sharpe,63,3,True,0.563,0.249,0.383,0.144,-0.008,0.073,-0.743,0.431,5.86,0.314
raw,63,2,True,0.528,0.455,0.483,0.139,0.1,0.121,-0.712,0.47,4.75,0.074
sharpe,5,3,True,0.523,0.851,0.69,0.121,0.336,0.213,-0.483,0.392,40.4,0.328
sharpe,10,2,False,0.497,0.698,0.596,0.106,0.22,0.156,-0.637,0.342,13.84,0.201
raw,10,2,False,0.497,0.698,0.596,0.106,0.22,0.156,-0.637,0.342,13.84,0.201
raw,5,2,False,0.494,0.63,0.559,0.104,0.19,0.142,-0.601,0.345,20.79,0.136
sharpe,5,2,False,0.494,0.63,0.559,0.104,0.19,0.142,-0.601,0.345,20.79,0.136
sharpe,10,3,False,0.485,0.806,0.649,0.101,0.294,0.184,-0.512,0.362,20.97,0.32
raw,10,3,False,0.485,0.806,0.649,0.101,0.294,0.184,-0.512,0.362,20.97,0.32
raw,5,2,True,0.481,0.852,0.672,0.113,0.36,0.218,-0.581,0.436,30.13,0.37
sharpe,5,3,False,0.475,0.83,0.659,0.097,0.303,0.186,-0.47,0.355,32.13,0.355
raw,5,3,False,0.475,0.83,0.659,0.097,0.303,0.186,-0.47,0.355,32.13,0.355
raw,63,3,True,0.463,0.313,0.375,0.112,-0.003,0.059,-0.79,0.518,5.54,0.15
raw,42,2,True,0.439,0.749,0.594,0.099,0.284,0.179,-0.718,0.455,6.24,0.31
raw,42,3,True,0.435,0.43,0.425,0.097,0.084,0.091,-0.754,0.464,7.42,0.006
sharpe,5,2,True,0.414,0.719,0.572,0.083,0.256,0.158,-0.568,0.391,30.34,0.305
raw,42,2,False,0.406,0.535,0.469,0.081,0.143,0.109,-0.71,0.369,4.55,0.129
sharpe,42,2,False,0.406,0.535,0.469,0.081,0.143,0.109,-0.71,0.369,4.55,0.129
sharpe,42,2,True,0.388,0.61,0.498,0.077,0.189,0.126,-0.718,0.417,6.66,0.221
sharpe,10,3,True,0.387,0.553,0.469,0.074,0.161,0.113,-0.569,0.401,25.61,0.166
sharpe,42,3,True,0.378,0.451,0.412,0.073,0.104,0.087,-0.676,0.398,7.85,0.073
sharpe,21,2,False,0.372,0.536,0.453,0.068,0.144,0.101,-0.622,0.35,8.99,0.164
raw,21,2,False,0.372,0.536,0.453,0.068,0.144,0.101,-0.622,0.35,8.99,0.164
raw,10,3,True,0.358,0.643,0.506,0.066,0.223,0.134,-0.597,0.458,25.45,0.285
sharpe,21,3,False,0.319,0.545,0.435,0.051,0.151,0.095,-0.734,0.358,13.23,0.226
raw,21,3,False,0.319,0.545,0.435,0.051,0.151,0.095,-0.734,0.358,13.23,0.226
raw,5,3,True,0.318,0.918,0.638,0.05,0.423,0.205,-0.585,0.457,39.6,0.6
raw,21,2,True,0.297,0.498,0.399,0.042,0.127,0.079,-0.814,0.454,12.7,0.201
sharpe,10,2,True,0.263,0.507,0.39,0.033,0.135,0.078,-0.675,0.402,20.09,0.244
raw,10,2,True,0.203,0.69,0.463,0.009,0.252,0.112,-0.684,0.445,19.88,0.487
sharpe,21,2,True,0.174,0.435,0.312,0.003,0.094,0.044,-0.758,0.408,12.82,0.261
raw,21,3,True,0.127,0.534,0.344,-0.024,0.148,0.05,-0.861,0.471,15.13,0.407
sharpe,21,3,True,0.115,0.454,0.295,-0.015,0.105,0.038,-0.779,0.397,15.92,0.339
