label,n,n_bonds,mean_ret,median_ret,win_rate,mean_hold,stale_share,mean_ann,control_mean_ret,excess_vs_control,excess_p_boot,family,params,window
"firesale {'discount': 2.5, 'require_sell_pressure': True}",5358,1565.0,-0.011993198920361148,-0.00900808280418419,0.3217618514371034,14.756065696155282,0.0016797312430011197,-0.32868485821223153,-0.01391292920453836,0.001919730284177211,0.0,firesale,"{""discount"": 2.5, ""require_sell_pressure"": true}",OOS 2023-01..2026-07
"firesale {'discount': 2.5, 'require_sell_pressure': True}",1146,787.0,-0.005958057943210935,-0.004030231892974228,0.4179755671902269,14.823734729493891,0.006980802792321117,-0.18261333382879807,-0.011769306221999978,0.005811248278789043,0.0,firesale,"{""discount"": 2.5, ""require_sell_pressure"": true}",survivorship-free 2025-07-08..
"momentum {'window_days': 60, 'thresh': 1.0}",11910,2477.0,-0.011198120587414899,-0.00980043533951297,0.31276238455079763,29.736523929471034,0.036523929471032744,-0.16649801014037155,-0.010756408328336726,-0.00044171225907817246,0.974,momentum,"{""window_days"": 60, ""thresh"": 1.0}",OOS 2023-01..2026-07
"momentum {'window_days': 60, 'thresh': 1.0}",4671,2060.0,-0.009198950204809663,-0.0065521638086249705,0.3290515949475487,33.042389210019266,0.08413615928066795,-0.1442498695993012,-0.00616056639184565,-0.0030383838129640134,1.0,momentum,"{""window_days"": 60, ""thresh"": 1.0}",survivorship-free 2025-07-08..
new_issue {'max_age_days': 10},1063,1063.0,-0.0029679960668431093,-0.0017215105066944155,0.4609595484477893,43.019755409219194,0.04233301975540922,-0.03283629293272239,-0.00411011339125216,0.001142117324409051,0.1165,new_issue,"{""max_age_days"": 10}",OOS 2023-01..2026-07
new_issue {'max_age_days': 10},388,388.0,0.003245087811052118,0.00220853222372089,0.5773195876288659,44.27061855670103,0.061855670103092786,0.026191346840862825,-0.000836156559389661,0.004081244370441779,0.0005,new_issue,"{""max_age_days"": 10}",survivorship-free 2025-07-08..
price_discount {'discount': 3.0},1497,1118.0,0.0639648396326011,0.06193571125001293,0.8710754843019372,370.55110220440883,0.0013360053440213762,0.06283726004212664,0.016371183959627385,0.04759365567297372,0.0,price_discount,"{""discount"": 3.0}",OOS 2023-01..2026-07
price_discount {'discount': 3.0},0,,,,,,,,,,,price_discount,"{""discount"": 3.0}",survivorship-free 2025-07-08..
value {'ytw_cheap': 0.5},1895,1377.0,0.07863430238269885,0.06274206021959358,0.9720316622691293,371.3926121372032,0.005804749340369393,0.07729332266077492,0.02391211750200734,0.05472218488069151,0.0,value,"{""ytw_cheap"": 0.5}",OOS 2023-01..2026-07
value {'ytw_cheap': 0.5},0,,,,,,,,,,,value,"{""ytw_cheap"": 0.5}",survivorship-free 2025-07-08..
